,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
95,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP_DATADISK,UK,2,11.2,8.0,0,6000,09-28-2021,3399,637,448,5.26,7857.0,4884.0,0.6167,14.05,2.14,302.14,300.0,912.68,0.0,4500.0,529.87,55.32,0.0,4142.54,3
96,UKI-SCOTGRID-DURHAM_SL7_UCORE,UKI-SCOTGRID-DURHAM,UKI-SCOTGRID-DURHAM_DATADISK,UK,3,13.4,8.0,0,2000,09-28-2021,863,710,192,1.2,2437.0,201.0,0.9238,5.97,1.42,30.56,29.14,-150.11,0.0,291.37,274.35,-38.25,0.0,299.06,5
97,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF_DATADISK,UK,2,17.0,8.0,0,3000,09-28-2021,1175,291,199,3.91,1549.0,91.0,0.9445,54.46,1.99,81.71,79.71,-184.3,0.0,797.15,440.39,-18.93,0.0,734.37,4
98,UKI-SCOTGRID-ECDF_CLOUD,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF_DATADISK,UK,2,17.0,8.0,0,3000,09-28-2021,146,132,59,1.04,383.0,76.0,0.8344,54.46,1.99,81.71,79.71,-184.3,0.0,797.15,440.39,-18.93,0.0,734.37,4
99,UKI-SCOTGRID-GLASGOW_CEPH,UKI-SCOTGRID-GLASGOW,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UK,2,8.74,8.0,0,5000,09-28-2021,10013,3002,848,3.32,5481.0,201.0,0.9646,60.35,23.6,223.6,200.0,-662.45,0.0,2000.0,1238.85,0.0,0.0,1776.4,3
100,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP_DATADISK,UK,2,10.0,8.0,0,3000,09-28-2021,1662,268,335,5.98,1413.0,389.0,0.7841,12.55,320.89,385.39,64.5,-163.12,0.0,645.0,80.8,-45.07,0.0,304.68,4
101,UNI-FREIBURG,UNI-FREIBURG,UNI-FREIBURG_DATADISK,DE,2,8.99,8.0,0,2000,09-28-2021,1951,233,206,8.03,3072.0,253.0,0.9239,10.33,44.3,224.3,180.0,400.27,0.0,1800.0,89.84,5.59,0.0,1570.11,3
102,UNIBE-LHEP,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,11.97,8.0,0,2000,09-28-2021,943,1195,128,0.78,1634.0,149.0,0.9164,54.77,0.67,157.9,157.23,-458.22,0.0,1572.3,1042.92,-113.68,0.0,1528.08,4
103,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,19.2,8.0,0,2000,09-28-2021,2,2,0,0.0,356.0,41.0,0.8967,54.77,0.67,157.9,157.23,-458.22,0.0,1572.3,1042.92,-113.68,0.0,1528.08,4
104,UTA_SWT2_UCORE,UTA_SWT2,UTA_SWT2_DATADISK,US,2,9.17,8.0,120,2000,09-28-2021,5,1,0,0.55,65.0,,0.0,-5.06,217.16,247.16,30.0,-131.36,0.0,300.0,0.0,4.21,0.0,48.64,5
105,ZA-WITS-CORE,ZA-WITS-CORE,ZA-WITS-CORE_DATADISK,NL,3,10.0,1.0,0,2000,09-28-2021,120,7,51,7.12,304.0,7.0,0.9775,184.39,25.24,36.23,11.0,-53.02,0.0,109.95,59.76,1.02,0.0,72.7,6
106,ifae,ifae,IFAE_DATADISK,ES,2,13.6,8.0,0,2000,09-28-2021,232,363,45,0.62,741.0,108.0,0.8728,36.35,16.94,75.94,59.0,-168.76,0.0,590.0,326.83,2.0,0.0,512.06,4
107,praguelcg2,praguelcg2,PRAGUELCG2_DATADISK,DE,2,10.56,8.0,0,2000,09-28-2021,483,525,89,0.9,1174.0,107.0,0.9165,3.79,3.26,195.07,191.81,479.42,180.0,2089.07,121.32,-23.11,170.93,1746.18,3
108,wuppertal,wuppertalprod,WUPPERTALPROD_DATADISK,DE,2,9.8,8.0,0,2000,09-28-2021,4539,2131,449,2.12,8474.0,7875.0,0.5183,16.93,1.27,211.28,210.01,297.7,0.0,2100.1,322.07,8.99,0.0,1879.83,3
