,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
22,UIO_CLOUD,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,7.0,0,2000,09-28-2021,897,1109,78,0.8,1818.0,44.0,0.9764,12.38,-0.06,299.94,300.0,1595.76,631.0,14528.53,3773.42,55.46,465.42,13707.71,3
23,Vega,SiGNET,NDGF-T1_DATADISK,ND,2,14.75,16.0,0,2000,09-28-2021,5315,4127,445,1.23,15430.0,935.0,0.9429,12.38,-0.06,299.94,300.0,1595.76,631.0,14528.53,3773.42,55.46,465.42,13707.71,3
24,AZ-IFAN,AZ-IFAN,FZK-LCG2_DATADISK,NL,3,10.0,1.0,0,6000,09-28-2021,130,3,24,10.08,864.0,223.0,0.7948,20.44,-0.53,299.47,300.0,1919.85,626.0,12444.0,2545.08,181.19,407.61,11555.73,3
25,DE-TARDIS,FZK-LCG2,FZK-LCG2_DATADISK,DE,1,12.557,8.0,0,2000,09-28-2021,625,148,131,3.96,809.0,107.0,0.8832,20.44,-0.53,299.47,300.0,1919.85,626.0,12444.0,2545.08,181.19,407.61,11555.73,3
26,FZK-LCG2,FZK-LCG2,FZK-LCG2_DATADISK,DE,1,10.4,8.0,0,2000,09-28-2021,4704,2891,268,1.62,9975.0,2811.0,0.7802,20.44,-0.53,299.47,300.0,1919.85,626.0,12444.0,2545.08,181.19,407.61,11555.73,3
27,Australia-ATLAS,Australia-ATLAS,AUSTRALIA-ATLAS_DATADISK,CA,2,11.377,8.0,0,2000,09-28-2021,617,243,19,2.44,1625.0,58.0,0.9655,44.06,25.19,154.09,128.9,-368.44,0.0,1289.0,717.1,12.84,0.0,1122.07,4
28,BNL,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.69,8.0,0,8000,09-28-2021,15756,3528,1691,4.45,25455.0,530.0,0.9796,4.57,946.14,1246.14,300.0,5272.32,0.0,19367.8,765.47,463.18,0.0,17658.47,2
29,BNL_VHIMEM,BNL-ATLAS,BNL-OSG2_DATADISK,US,1,12.69,8.0,0,2000,09-28-2021,3,4,0,0.29,100.0,1.0,0.9901,4.57,946.14,1246.14,300.0,5272.32,0.0,19367.8,765.47,463.18,0.0,17658.47,2
30,CA-TRIUMF-DYNAFED,CA-TRIUMF-DYNAFED,CA-UVIC-CLOUD_DATADISK,CA,3,10.0,6.0,0,5000,09-28-2021,4,0,0,0.0,259.0,87.0,0.7486,65.7,1.07,2.17,1.1,-4.33,0.0,11.0,2.92,3.63,0.0,5.19,10
31,CA-VICTORIA-K8S-T2,CA-VICTORIA-WESTGRID-T2,CA-VICTORIA-WESTGRID-T2_DATADISK,CA,2,11.0,8.0,0,2000,09-28-2021,2729,686,368,3.92,4268.0,261.0,0.9424,19.94,8.33,158.33,150.0,-435.53,0.0,1500.0,861.25,15.95,0.0,1325.72,4
