,rse,site,cloud,queue,datetime,tier_level,corepower,corecount,nodes,transferringlimit,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance,SARA-MATRIX_DATADISK_closeness,rse_weight
77,PIC_DATADISK,pic,ES,pic,09-28-2021,-0.294,0.113,-0.02,-0.036,-0.047,-0.017,0.005,-0.051,-0.059,-0.008,0.03,-0.037,-0.087,-0.058,-0.017,0.31,-0.003,-0.105,-0.137,-0.264,0.01,-0.09,-0.135,-0.101,0.101,-0.19999999999999998
78,SAMPA_DATADISK,SAMPA,ES,SAMPA,09-28-2021,0.04,0.113,-0.02,-0.036,-0.047,-0.046,-0.002,0.068,-0.085,-0.09,-0.036,-0.108,-0.035,-0.03,-0.095,-0.591,-0.107,-0.105,-0.272,-0.309,-0.053,-0.09,-0.26,0.774,-0.774,-1.266
79,SLACXRD_DATADISK,WT2,US,SLAC,09-28-2021,0.373,0.612,-0.105,-0.034,-0.047,-0.05,-0.046,-0.088,-0.073,-0.078,-0.05,0.101,-0.117,-0.06,-0.124,-0.608,-0.117,-0.105,-0.274,-0.286,-0.016,-0.09,-0.26,-0.101,0.101,-0.357
80,SLACXRD_DATADISK,WT2,US,SLAC_ES,09-28-2021,0.373,0.612,-0.105,-0.034,-0.047,-0.058,-0.066,-0.112,-0.097,-0.101,,-0.877,-0.117,-0.06,-0.124,-0.608,-0.117,-0.105,-0.274,-0.286,-0.016,-0.09,-0.26,-0.101,0.101,-1.383
81,TOKYO-LCG2_DATADISK,TOKYO-LCG2,FR,TOKYO,09-28-2021,0.04,0.474,-0.02,-0.036,0.061,0.032,0.009,0.455,-0.097,0.176,-0.018,0.098,-0.048,-0.044,-0.004,0.31,0.032,0.209,0.039,0.041,-0.02,0.107,0.037,-0.101,0.101,0.592
82,TRIUMF-LCG2_DATADISK,TRIUMF-LCG2,CA,TRIUMF,09-28-2021,-0.294,0.554,-0.02,-0.036,0.115,0.082,0.044,0.229,-0.012,0.19,-0.025,0.105,-0.061,-0.06,-0.019,0.31,0.186,0.81,0.185,0.032,-0.004,0.91,0.16,-0.101,0.101,0.589
83,TRIUMF-LCG2_DATADISK,TRIUMF-LCG2,CA,TRIUMF_SIM,09-28-2021,-0.294,0.554,-0.063,-0.036,-0.047,-0.043,0.009,-0.081,-0.084,-0.082,-0.048,0.073,-0.061,-0.06,-0.019,0.31,0.186,0.81,0.185,0.032,-0.004,0.91,0.16,-0.101,0.101,0.175
84,TAIWAN-LCG2_DATADISK,TW-FTT,TW,TW-FTT,09-28-2021,0.04,-0.155,-0.02,-0.036,-0.047,-0.045,-0.031,-0.094,-0.073,-0.072,-0.032,-0.006,0.194,0.905,0.86,0.31,-0.328,-0.105,0.138,0.309,-0.13,-0.09,0.041,0.024,-0.024,0.801
85,TAIWAN-LCG2_DATADISK,Taiwan-LCG2,TW,Taiwan-LCG2,09-28-2021,-0.294,0.045,-0.02,-0.036,0.007,-0.019,-0.056,0.006,0.146,-0.061,-0.05,0.112,0.194,0.905,0.86,0.31,-0.328,-0.105,0.138,0.309,-0.13,-0.09,0.041,0.024,-0.024,1.238
86,TAIWAN-LCG2_DATADISK,Taiwan-LCG2,TW,Taiwan-LCG2-HPC2_Unified,09-28-2021,-0.294,0.319,-0.02,-0.036,0.007,-0.055,-0.049,-0.107,-0.086,-0.085,-0.051,0.099,0.194,0.905,0.86,0.31,-0.328,-0.105,0.138,0.309,-0.13,-0.09,0.041,0.024,-0.024,0.88
87,TAIWAN-LCG2_DATADISK,Taiwan-LCG2,TW,Taiwan-LCG2-HPC_Unified,09-28-2021,-0.294,0.319,-0.02,-0.036,0.007,-0.049,-0.042,-0.064,-0.074,-0.085,-0.042,0.0,0.194,0.905,0.86,0.31,-0.328,-0.105,0.138,0.309,-0.13,-0.09,0.041,0.024,-0.024,0.836
88,UAM-LCG2_DATADISK,UAM-LCG2,ES,UAM_MareNostrum4,09-28-2021,0.04,0.356,0.831,-0.036,-0.047,-0.056,-0.064,-0.084,-0.097,-0.095,-0.05,0.049,0.047,-0.048,-0.081,-0.329,-0.073,-0.105,-0.235,-0.305,-0.01,-0.09,-0.226,-0.101,0.101,-0.347
89,UKI-LT2-BRUNEL_DATADISK,UKI-LT2-Brunel,UK,UKI-LT2-Brunel_SL7_UCORE,09-28-2021,0.373,-0.015,-0.02,-0.036,0.007,-0.049,-0.06,-0.101,-0.011,-0.094,-0.048,0.018,-0.114,-0.064,-0.136,-0.681,-0.1,-0.105,-0.284,-0.32,-0.057,-0.09,-0.268,0.274,-0.274,-0.788
90,UKI-LT2-QMUL_DATADISK,UKI-LT2-IC-HEP,UK,UKI-LT2-IC-HEP_SL7_UCORE,09-28-2021,0.373,-0.133,-0.02,-0.036,0.007,-0.055,-0.065,-0.088,-0.022,-0.015,-0.04,0.095,-0.081,-0.067,-0.025,0.31,0.013,-0.105,-0.116,-0.243,0.012,-0.09,-0.113,0.024,-0.024,-0.18
91,UKI-LT2-QMUL_DATADISK,UKI-LT2-QMUL,UK,UKI-LT2-QMUL,09-28-2021,0.04,0.266,-0.02,-0.036,-0.047,-0.02,0.06,0.134,-0.087,0.015,-0.023,0.073,-0.081,-0.067,-0.025,0.31,0.013,-0.105,-0.116,-0.243,0.012,-0.09,-0.113,0.024,-0.024,-0.045000000000000005
92,UKI-LT2-RHUL_DATADISK,UKI-LT2-RHUL,UK,UKI-LT2-RHUL,09-28-2021,0.04,-0.108,-0.02,-0.036,-0.047,0.03,-0.038,-0.08,0.105,0.002,-0.027,0.074,0.044,-0.065,-0.107,-0.416,-0.132,-0.105,-0.247,-0.191,-0.17,-0.09,-0.23,0.024,-0.024,-0.279
93,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP,09-28-2021,0.04,0.236,-0.02,-0.036,0.169,0.072,-0.026,0.089,0.119,0.145,-0.044,0.118,-0.056,0.299,0.271,-0.008,-0.178,0.104,-0.182,-0.251,-0.053,0.126,-0.222,0.024,-0.024,0.39099999999999996
94,UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UK,UKI-NORTHGRID-LIV-HEP,09-28-2021,0.04,-0.148,-0.02,-0.036,0.007,-0.016,-0.063,0.003,0.591,-0.052,-0.051,0.117,0.022,-0.067,-0.111,-0.435,-0.127,-0.105,-0.25,-0.219,-0.065,-0.09,-0.235,0.149,-0.149,0.20099999999999998
95,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP,09-28-2021,0.04,-0.073,-0.02,-0.036,0.169,0.018,-0.02,0.082,0.011,0.09,0.494,-0.259,-0.072,-0.066,-0.025,0.31,0.035,-0.105,-0.074,-0.195,0.026,-0.09,-0.07,-0.101,0.101,-0.16399999999999995
96,UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-DURHAM,UK,UKI-SCOTGRID-DURHAM_SL7_UCORE,09-28-2021,0.373,0.097,-0.02,-0.036,-0.047,-0.038,-0.015,-0.029,-0.072,-0.043,-0.03,0.049,-0.106,-0.066,-0.129,-0.594,-0.121,-0.105,-0.272,-0.257,-0.107,-0.09,-0.255,0.149,-0.149,-0.602
97,UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF,09-28-2021,0.04,0.376,-0.02,-0.036,0.007,-0.032,-0.045,-0.026,-0.016,-0.064,-0.042,0.07,0.096,-0.066,-0.109,-0.425,-0.126,-0.105,-0.248,-0.217,-0.08,-0.09,-0.234,0.024,-0.024,-0.353
98,UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF_CLOUD,09-28-2021,0.04,0.376,-0.02,-0.036,0.007,-0.054,-0.056,-0.087,-0.076,-0.093,-0.044,-0.041,0.096,-0.066,-0.109,-0.425,-0.126,-0.105,-0.248,-0.217,-0.08,-0.09,-0.234,0.024,-0.024,-0.585
99,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW_CEPH,09-28-2021,0.04,-0.263,-0.02,-0.036,0.115,0.164,0.151,0.255,-0.029,0.032,-0.03,0.09,0.121,-0.057,-0.055,-0.024,-0.196,-0.105,-0.192,-0.024,-0.053,-0.09,-0.184,-0.101,0.101,0.17
100,UKI-SOUTHGRID-RALPP_DATADISK,UKI-SOUTHGRID-RALPP,UK,UKI-SOUTHGRID-RALPP,09-28-2021,0.04,-0.166,-0.02,-0.036,0.007,-0.021,-0.047,0.033,0.026,-0.068,-0.009,-0.091,-0.079,0.068,0.007,-0.476,-0.123,-0.105,-0.255,-0.304,-0.117,-0.09,-0.255,0.024,-0.024,-0.30400000000000005
101,UNI-FREIBURG_DATADISK,UNI-FREIBURG,DE,UNI-FREIBURG,09-28-2021,0.04,-0.244,-0.02,-0.036,-0.047,-0.014,-0.049,-0.023,0.068,-0.027,-0.024,0.049,-0.088,-0.048,-0.055,-0.091,-0.04,-0.105,-0.201,-0.302,-0.045,-0.09,-0.194,-0.101,0.101,-0.061
102,UNIBE-LHEP_DATADISK,UNIBE-LHEP,ND,UNIBE-LHEP,09-28-2021,0.04,-0.013,-0.02,-0.036,-0.047,-0.037,0.02,-0.057,-0.081,-0.062,-0.036,0.042,0.098,-0.067,-0.08,-0.167,-0.166,-0.105,-0.212,-0.072,-0.214,-0.09,-0.196,0.024,-0.024,-0.41200000000000003
103,UNIBE-LHEP_DATADISK,UNIBE-LHEP,ND,UNIBE-LHEP-UBELIX_MCORE_LOPRI,09-28-2021,0.04,0.546,-0.02,-0.036,-0.047,-0.058,-0.066,-0.112,-0.097,-0.093,-0.048,0.022,0.098,-0.067,-0.08,-0.167,-0.166,-0.105,-0.212,-0.072,-0.214,-0.09,-0.196,0.024,-0.024,-0.503
104,UTA_SWT2_DATADISK,UTA_SWT2,US,UTA_SWT2_UCORE,09-28-2021,0.04,-0.23,-0.02,0.114,-0.047,-0.057,-0.066,-0.112,-0.086,-0.1,,-0.877,-0.152,0.024,-0.046,-0.591,-0.118,-0.105,-0.272,-0.323,-0.047,-0.09,-0.267,0.149,-0.149,-1.542
105,ZA-WITS-CORE_DATADISK,ZA-WITS-CORE,NL,ZA-WITS-CORE,09-28-2021,0.373,-0.166,-0.169,-0.036,-0.047,-0.055,-0.065,-0.09,0.05,-0.095,-0.052,0.103,0.639,-0.056,-0.127,-0.655,-0.107,-0.105,-0.281,-0.309,-0.052,-0.09,-0.266,0.274,-0.274,-0.619
106,IFAE_DATADISK,ifae,ES,ifae,09-28-2021,0.04,0.113,-0.02,-0.036,-0.047,-0.052,-0.04,-0.093,-0.084,-0.084,-0.041,-0.002,0.021,-0.06,-0.111,-0.495,-0.124,-0.105,-0.258,-0.244,-0.05,-0.09,-0.245,0.024,-0.024,-0.5720000000000001
107,PRAGUELCG2_DATADISK,praguelcg2,DE,praguelcg2,09-28-2021,0.04,-0.122,-0.02,-0.036,-0.047,-0.047,-0.028,-0.074,-0.079,-0.073,-0.041,0.042,-0.115,-0.066,-0.066,-0.051,-0.029,0.104,-0.187,-0.294,-0.086,0.153,-0.185,-0.101,0.101,-0.263
108,WUPPERTALPROD_DATADISK,wuppertalprod,DE,wuppertal,09-28-2021,0.04,-0.181,-0.02,-0.036,-0.047,0.043,0.088,0.082,-0.053,0.105,0.829,-0.357,-0.06,-0.067,-0.06,0.01,-0.055,-0.105,-0.187,-0.246,-0.04,-0.09,-0.179,-0.101,0.101,-0.474
