,rse,site,cloud,queue,datetime,tier_level,corepower,corecount,nodes,transferringlimit,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance,SARA-MATRIX_DATADISK_closeness,rse_weight
18,NDGF-T1_DATADISK,BOINC,CERN,BOINC_MCORE,09-28-2021,0.373,-0.166,-0.169,-0.036,0.926,0.942,0.934,-0.08,-0.03,0.899,-0.032,0.121,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.484
19,NDGF-T1_DATADISK,SE-SNIC-T2,ND,LUNARC,09-28-2021,0.04,0.023,-0.02,-0.036,-0.047,-0.058,-0.066,-0.112,-0.097,,0.022,-0.877,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,-0.6130000000000001
20,NDGF-T1_DATADISK,NDGF-T1,ND,NSC,09-28-2021,-0.294,0.301,-0.02,-0.036,-0.047,-0.04,-0.039,-0.065,-0.053,-0.026,-0.035,0.078,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.43300000000000005
21,NDGF-T1_DATADISK,SiGNET,ND,SiGNET,09-28-2021,0.04,-0.181,0.15,-0.036,-0.047,0.089,0.035,-0.062,-0.001,-0.05,0.029,-0.13,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.28
22,NDGF-T1_DATADISK,NDGF-T1,ND,UIO_CLOUD,09-28-2021,-0.294,0.301,-0.041,-0.036,-0.047,-0.038,0.014,-0.078,-0.081,-0.058,-0.048,0.102,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.41600000000000004
23,NDGF-T1_DATADISK,SiGNET,ND,Vega,09-28-2021,0.04,0.202,0.15,-0.036,-0.047,0.06,0.232,0.081,-0.072,0.275,0.052,0.068,-0.079,-0.067,-0.026,0.31,0.134,0.627,0.398,0.587,0.026,0.572,0.389,-0.101,0.101,0.55
24,FZK-LCG2_DATADISK,AZ-IFAN,NL,AZ-IFAN,09-28-2021,0.373,-0.166,-0.169,-0.036,0.169,-0.055,-0.066,-0.102,0.111,-0.081,-0.028,-0.08,-0.046,-0.067,-0.026,0.31,0.182,0.621,0.3,0.291,0.204,0.49,0.286,-0.101,0.101,0.30400000000000005
25,FZK-LCG2_DATADISK,FZK-LCG2,DE,DE-TARDIS,09-28-2021,-0.294,0.032,-0.02,-0.036,-0.047,-0.044,-0.055,-0.055,-0.015,-0.082,-0.041,0.008,-0.046,-0.067,-0.026,0.31,0.182,0.621,0.3,0.291,0.204,0.49,0.286,-0.101,0.101,0.313
26,FZK-LCG2_DATADISK,FZK-LCG2,DE,FZK-LCG2,09-28-2021,-0.294,-0.135,-0.02,-0.036,-0.047,0.047,0.143,0.004,-0.064,0.142,0.262,-0.095,-0.046,-0.067,-0.026,0.31,0.182,0.621,0.3,0.291,0.204,0.49,0.286,-0.101,0.101,0.22
27,AUSTRALIA-ATLAS_DATADISK,Australia-ATLAS,CA,Australia-ATLAS,09-28-2021,0.04,-0.059,-0.02,-0.036,-0.047,-0.044,-0.048,-0.104,-0.047,-0.062,-0.046,0.091,0.053,-0.056,-0.081,-0.261,-0.153,-0.105,-0.225,-0.15,-0.035,-0.09,-0.215,0.024,-0.024,-0.39
28,BNL-OSG2_DATADISK,BNL-ATLAS,US,BNL,09-28-2021,-0.294,0.042,-0.02,-0.036,0.277,0.291,0.189,0.621,-0.005,0.52,0.007,0.105,-0.112,0.331,0.337,0.31,0.672,-0.105,0.626,-0.139,0.604,-0.09,0.579,-0.226,0.226,1.9100000000000001
29,BNL-OSG2_DATADISK,BNL-ATLAS,US,BNL_VHIMEM,09-28-2021,-0.294,0.042,-0.02,-0.036,-0.047,-0.058,-0.066,-0.112,-0.091,-0.1,-0.053,0.115,-0.112,0.331,0.337,0.31,0.672,-0.105,0.626,-0.139,0.604,-0.09,0.579,-0.226,0.226,1.101
30,CA-UVIC-CLOUD_DATADISK,CA-TRIUMF-DYNAFED,CA,CA-TRIUMF-DYNAFED,09-28-2021,0.373,-0.166,-0.063,-0.036,0.115,-0.057,-0.066,-0.112,-0.097,-0.096,-0.043,-0.127,0.143,-0.067,-0.14,-0.688,-0.099,-0.105,-0.285,-0.323,-0.048,-0.09,-0.269,0.774,-0.774,-1.5350000000000001
31,CA-VICTORIA-WESTGRID-T2_DATADISK,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-K8S-T2,09-28-2021,0.04,-0.088,-0.02,-0.036,-0.047,0.003,-0.016,0.047,-0.016,0.002,-0.023,0.068,-0.048,-0.064,-0.08,-0.191,-0.163,-0.105,-0.215,-0.115,-0.03,-0.09,-0.205,0.024,-0.024,-0.22
32,CA-WATERLOO-T2_DATADISK,CA-WATERLOO-T2,CA,CA-WATERLOO-T2,09-28-2021,0.04,0.182,-0.02,-0.036,-0.047,-0.041,-0.033,-0.089,-0.097,-0.036,-0.039,0.083,0.156,-0.064,-0.056,0.021,-0.189,-0.105,-0.185,-0.029,-0.008,-0.09,-0.179,0.024,-0.024,-0.368
33,CSCS-LCG2_DATADISK,CSCS-LCG2,DE,CSCS-LCG2,09-28-2021,0.04,0.024,-0.02,-0.036,-0.047,-0.031,-0.004,-0.016,-0.069,-0.023,-0.049,0.116,-0.093,-0.064,-0.042,0.147,-0.047,-0.105,-0.168,-0.255,0.099,-0.09,-0.166,0.024,-0.024,-0.203
34,CYFRONET-LCG2_DATADISK,CYFRONET-LCG2,DE,CYFRONET,09-28-2021,0.04,0.159,0.15,-0.036,-0.047,-0.038,-0.053,-0.071,-0.002,-0.076,-0.046,0.075,0.256,-0.064,-0.071,-0.107,-0.194,0.021,-0.2,-0.024,-0.122,0.0,-0.192,0.024,-0.024,-0.29300000000000004
35,DESY-HH_DATADISK,DESY-HH,DE,DESY-HH,09-28-2021,0.04,-0.036,-0.02,-0.036,-0.047,0.252,-0.046,0.17,0.903,0.164,-0.015,0.095,-0.066,-0.053,-0.043,0.043,-0.053,-0.105,-0.182,-0.252,-0.033,-0.09,-0.176,-0.101,0.101,1.044
36,DESY-ZN_DATADISK,DESY-ZN,DE,DESY-ZN,09-28-2021,0.04,0.68,-0.02,-0.036,-0.047,0.047,-0.026,0.226,0.001,0.086,-0.042,0.114,-0.101,-0.054,-0.046,0.024,-0.033,-0.047,-0.185,-0.278,-0.047,-0.082,-0.178,-0.101,0.101,0.21100000000000005
37,EELA-UTFSM_DATADISK,EELA-UTFSM,ES,EELA-UTFSM,09-28-2021,0.04,-0.045,-0.02,-0.036,-0.047,-0.053,-0.065,-0.107,0.094,-0.091,-0.05,0.075,0.424,-0.055,-0.114,-0.555,-0.13,-0.105,-0.267,-0.246,-0.073,-0.09,-0.252,0.274,-0.274,-0.5930000000000001
38,FMPHI-UNIBA_DATADISK,FMPhI-UNIBA,DE,FMPhI-UNIBA,09-28-2021,0.04,-0.126,-0.02,-0.036,-0.047,-0.049,-0.042,-0.084,-0.074,-0.084,-0.052,0.117,0.123,-0.066,-0.115,-0.483,-0.124,-0.105,-0.256,-0.239,-0.048,-0.09,-0.242,0.149,-0.149,-0.561
39,GRIF-IRFU_DATADISK,GRIF,FR,GRIF-IRFU,09-28-2021,0.04,-0.085,-0.02,-0.036,-0.047,0.018,-0.054,-0.016,0.31,-0.04,-0.044,0.096,-0.055,-0.026,-0.023,0.004,-0.043,-0.105,-0.188,-0.25,-0.278,-0.09,-0.176,-0.101,0.101,0.28
40,GRIF-LAL_DATADISK,GRIF,FR,GRIF-LAL,09-28-2021,0.04,-0.166,-0.02,-0.036,0.277,-0.006,-0.056,-0.056,0.224,-0.045,0.001,-0.047,0.09,-0.042,-0.06,-0.188,-0.163,-0.105,-0.215,-0.118,-0.08,-0.09,-0.206,0.149,-0.149,-0.303
41,GRIF-LPNHE_DATADISK,GRIF,FR,GRIF-LPNHE,09-28-2021,0.04,-0.085,-0.02,-0.036,-0.047,-0.016,-0.047,-0.039,0.04,-0.04,-0.048,0.111,0.051,-0.065,-0.083,-0.204,-0.161,-0.105,-0.217,-0.113,-0.071,-0.09,-0.206,0.024,-0.024,-0.212
42,GOEGRID_DATADISK,GoeGrid,DE,GoeGrid,09-28-2021,0.04,-0.243,-0.02,-0.036,-0.047,-0.048,-0.051,-0.065,-0.054,-0.065,0.113,-0.371,0.074,0.229,0.212,0.024,-0.192,-0.032,-0.182,-0.226,0.196,-0.007,-0.219,0.024,-0.024,-0.48400000000000004
43,LRZ-LMU_DATADISK,HEPHY-UIBK,DE,HEPHY-UIBK,09-28-2021,0.04,-0.285,-0.02,-0.036,-0.047,-0.025,-0.055,-0.088,0.097,-0.088,0.051,-0.49,0.044,-0.012,-0.008,0.026,-0.067,-0.105,-0.185,-0.253,-0.049,-0.09,-0.183,-0.101,0.101,-0.573
44,LRZ-LMU_DATADISK,LRZ-LMU,DE,LRZ-LMU,09-28-2021,0.04,-0.184,-0.02,-0.036,-0.047,-0.023,0.01,-0.095,-0.067,-0.052,0.004,-0.072,0.044,-0.012,-0.008,0.026,-0.067,-0.105,-0.185,-0.253,-0.049,-0.09,-0.183,-0.101,0.101,-0.32600000000000007
45,BEIJING-LCG2_DATADISK,HK-LCG2,FR,HONGKONG,09-28-2021,0.04,-0.166,-0.02,-0.036,0.169,-0.033,-0.058,-0.034,0.098,-0.076,-0.046,0.072,0.055,-0.067,-0.126,-0.568,-0.121,-0.105,-0.268,-0.263,-0.031,-0.09,-0.254,0.149,-0.149,-0.40700000000000003
46,IEPSAS-KOSICE_DATADISK,IEPSAS-Kosice,DE,IEPSAS-Kosice,09-28-2021,0.04,0.295,-0.02,-0.036,-0.047,-0.053,-0.056,-0.092,-0.068,-0.081,-0.05,0.103,0.128,-0.037,-0.072,-0.33,-0.144,-0.105,-0.235,-0.174,-0.132,-0.09,-0.223,0.149,-0.149,-0.513
47,IFIC-LCG2_DATADISK,IFIC-LCG2,ES,IFIC,09-28-2021,0.04,0.064,-0.02,-0.036,-0.047,-0.01,-0.002,0.046,-0.059,0.092,-0.017,0.086,-0.105,-0.065,-0.039,0.177,-0.006,-0.105,-0.163,-0.276,-0.127,-0.09,-0.155,-0.101,0.101,-0.027999999999999997
48,IFIC-LCG2_DATADISK,IFIC-LCG2,ES,IFIC_MareNostrum4,09-28-2021,0.04,0.356,0.831,-0.036,-0.047,-0.056,-0.06,-0.062,-0.097,-0.093,-0.051,0.094,-0.105,-0.065,-0.039,0.177,-0.006,-0.105,-0.163,-0.276,-0.127,-0.09,-0.155,-0.101,0.101,-0.166
49,TECHNION-HEP_DATADISK,IL-TAU-HEP,NL,IL-TAU,09-28-2021,0.04,-0.166,-0.02,-0.036,-0.047,-0.048,-0.061,-0.091,0.031,-0.075,0.005,-0.193,-0.055,0.196,0.175,-0.032,-0.178,-0.105,-0.193,-0.205,-0.03,-0.09,-0.215,0.149,-0.149,-0.42000000000000004
50,TECHNION-HEP_DATADISK,TECHNION-HEP,NL,TECHNION,09-28-2021,0.04,-0.03,-0.02,-0.036,-0.047,-0.033,-0.051,-0.036,0.01,-0.047,-0.05,0.113,-0.055,0.196,0.175,-0.032,-0.178,-0.105,-0.193,-0.205,-0.03,-0.09,-0.215,0.149,-0.149,-0.07999999999999999
51,TECHNION-HEP_DATADISK,WEIZMANN-LCG2,NL,WEIZMANN,09-28-2021,0.04,-0.03,-0.02,-0.036,-0.047,-0.051,-0.029,-0.015,-0.085,-0.062,-0.047,0.096,-0.055,0.196,0.175,-0.032,-0.178,-0.105,-0.193,-0.205,-0.03,-0.09,-0.215,0.149,-0.149,-0.171
52,IN2P3-CC_DATADISK,IN2P3-CC,FR,IN2P3-CC,09-28-2021,-0.294,-0.02,-0.02,-0.036,-0.074,0.151,0.067,0.453,0.008,0.195,0.012,0.08,-0.034,-0.053,-0.013,0.31,0.199,0.895,0.372,0.529,-0.062,0.209,0.376,-0.101,0.101,1.0010000000000001
53,IN2P3-CPPM_DATADISK,IN2P3-CPPM,FR,IN2P3-CPPM,09-28-2021,0.04,-0.098,-0.02,-0.036,-0.047,0.009,0.009,-0.039,-0.038,-0.022,-0.044,0.101,-0.075,-0.062,-0.051,0.054,-0.026,-0.105,-0.181,-0.285,-0.05,-0.09,-0.173,0.024,-0.024,-0.23199999999999998
54,IN2P3-LAPP_DATADISK,IN2P3-LAPP,FR,IN2P3-LAPP,09-28-2021,0.04,-0.05,-0.02,-0.036,-0.047,0.024,-0.048,0.048,0.203,0.021,-0.03,0.086,-0.066,-0.042,-0.007,0.27,-0.015,-0.105,-0.15,-0.263,-0.076,-0.09,-0.147,0.024,-0.024,0.15600000000000003
55,IN2P3-LPC_DATADISK,IN2P3-LPC,FR,IN2P3-LPC,09-28-2021,0.04,-0.004,-0.02,-0.036,-0.047,-0.011,-0.046,-0.053,0.057,-0.032,-0.048,0.111,0.084,-0.066,-0.075,-0.13,-0.169,-0.105,-0.207,-0.085,-0.057,-0.09,-0.196,0.024,-0.024,-0.19099999999999998
56,IN2P3-LPC_DATADISK,IN2P3-LPC,FR,IN2P3-LPC-MUC2A,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.052,-0.055,-0.089,-0.066,-0.097,-0.052,0.098,0.084,-0.066,-0.075,-0.13,-0.169,-0.105,-0.207,-0.085,-0.057,-0.09,-0.196,0.024,-0.024,-0.363
57,IN2P3-LPSC_DATADISK,IN2P3-LPSC,FR,IN2P3-LPSC,09-28-2021,0.04,-0.059,-0.02,-0.036,-0.047,-0.032,-0.048,-0.087,-0.003,-0.077,-0.051,0.113,0.125,-0.059,-0.09,-0.313,-0.141,-0.105,-0.232,-0.18,-0.031,-0.09,-0.222,-0.101,0.101,-0.19799999999999998
58,INFN-T1_DATADISK,INFN-T1,IT,INFN-CNAF,09-28-2021,-0.294,-0.069,-0.02,-0.036,-0.047,-0.007,0.089,0.193,-0.075,0.015,-0.037,0.097,-0.076,-0.024,0.014,0.31,0.153,-0.105,0.03,-0.19,-0.045,-0.09,0.033,-0.101,0.101,0.36
59,INFN-COSENZA_DATADISK,INFN-COSENZA,IT,INFN-COSENZA-RECAS,09-28-2021,0.373,-0.282,-0.02,-0.036,-0.047,-0.025,-0.064,0.076,0.639,-0.05,-0.052,0.123,-0.031,-0.067,-0.128,-0.581,-0.126,-0.105,-0.27,-0.267,0.018,-0.09,-0.257,0.149,-0.149,0.2909999999999999
60,INFN-FRASCATI_DATADISK,INFN-FRASCATI,IT,INFN-FRASCATI,09-28-2021,0.04,-0.085,-0.02,-0.036,-0.047,-0.036,-0.051,-0.071,-0.005,-0.083,-0.052,0.118,0.05,-0.052,-0.068,-0.178,-0.162,-0.105,-0.213,-0.125,-0.0,-0.09,-0.206,0.024,-0.024,-0.263
61,INFN-GENOVA_DATADISK,INFN-GENOVA,IT,INFN-GENOVA,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.056,-0.059,-0.104,-0.084,-0.099,-0.047,-0.183,-0.107,-0.066,-0.14,-0.689,-0.1,-0.105,-0.285,-0.322,-0.053,-0.09,-0.269,0.274,-0.274,-1.07
62,INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC,IT,INFN-MILANO-ATLASC,09-28-2021,0.04,0.024,-0.02,-0.036,-0.047,-0.029,-0.032,-0.059,-0.041,-0.068,-0.036,0.03,0.848,0.051,0.03,-0.141,-0.17,-0.105,-0.208,-0.155,-0.047,-0.09,-0.212,0.024,-0.024,-0.272
