,scope,name,rse_id,rse,available_bytes,available_length,created_at,updated_at,accessed_at,length,bytes,state,account,activity,child_rule_id,comments,copies,did_type,eol_at,error,expires_at,grouping,has_rule,id,ignore_account_limit,ignore_availability,locked,locks_ok_cnt,locks_replicating_cnt,locks_stuck_cnt,meta,notification,official,priority,purge_replicas,rse_expression,rule_id,source_replica_expression,split_container,stuck_at,subscription_id,weight,timestamp,available_TB,TB,cloud,site,tier,freespace
0,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,f9dd2b306e514faba4e46b46d2eeb50e,JINR-LCG2_DATADISK,35852712628,25,2021-07-22 08:41:13,2021-07-25 11:06:03,2021-07-22 09:34:37,190,403264512568,UNAVAILABLE,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,2021-10-04 14:47:14.839013,0.03,0.37,RU,JINR-LCG2,2,682
1,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,251851c154f94d4a83025801687b7290,SARA-MATRIX_DATADISK,403264512568,190,2019-10-08 22:37:25,2021-10-04 07:36:57,2021-10-04 07:36:57,190,403264512568,AVAILABLE,panda,Production Output,,,1.0,DATASET,,,,DATASET,True,68c4bb3edc474ad68c34ea5df24e52f6,False,True,False,0.0,0.0,0.0,,NO,True,3.0,False,SARA-MATRIX_DATADISK,68c4bb3edc474ad68c34ea5df24e52f6,,False,,,,2021-10-04 14:47:14.839013,0.37,0.37,NL,SARA-MATRIX,1,381
2,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,80a62aee58af482a89025135edc6e593,GRIF-LAL_DATADISK,233030780284,104,2021-07-22 08:41:13,2021-08-01 21:46:21,2021-07-31 22:48:26,190,403264512568,UNAVAILABLE,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,2021-10-04 14:47:14.839013,0.21,0.37,FR,GRIF-LAL,2,875
3,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,c6dcf68ddec041d583a1f009a9077473,RAL-LCG2-ECHO_DATADISK,179260053129,89,2021-08-30 18:52:37,2021-09-19 18:25:49,2021-09-16 11:03:58,190,403264512568,UNAVAILABLE,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,2021-10-04 14:47:14.839013,0.16,0.37,UK,RAL-LCG2,1,2870
4,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,2b82ed2dd2ca4210a4e4b19a6adaccd9,AGLT2_DATADISK,264359843979,127,2021-05-31 02:58:52,2021-08-17 09:00:58,2021-08-17 09:00:58,190,403264512568,UNAVAILABLE,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,2021-10-04 14:47:14.839013,0.24,0.37,US,AGLT2,2,3661
5,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,904c242079f94bd5ab07a3c4cca6575e,CERN-PROD_SCRATCHDISK,403264512568,190,2021-09-22 07:38:03,2021-10-04 11:53:03,2021-10-04 11:53:03,190,403264512568,AVAILABLE,jiturbep,User Subscriptions,,,1.0,DATASET,,,2021-10-06 07:38:02,DATASET,True,a968520c67ed4d90a7291d3712256d6c,False,False,False,0.0,190.0,0.0,,NO,False,3.0,False,CERN-PROD_SCRATCHDISK,a968520c67ed4d90a7291d3712256d6c,,False,,,,2021-10-04 14:47:14.839013,0.37,0.37,CERN,CERN-PROD,0,495
6,mc16_13TeV,mc16_13TeV.364250.Sherpa_222_NNPDF30NNLO_llll.deriv.DAOD_HIGG4D1.e5894_e5984_s3126_r10201_r10210_p3978_tid19355626_00,11bb343f008e4aceb24205d343158f87,IN2P3-CC_DATADISK,179260053129,89,2021-08-31 12:48:14,2021-09-07 12:51:22,,190,403264512568,UNAVAILABLE,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,2021-10-04 14:47:14.839013,0.16,0.37,FR,IN2P3-CC,1,3415
