,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,free_gb,datetime
46,CYFRONET,CYFRONET-LCG2,CYFRONET-LCG2_DATADISK,DE,2,14.2,16.0,0,2000,169964.1,09-28-2021
47,CYFRONET_DIRECT,CYFRONET-LCG2,CYFRONET-LCG2_DATADISK,DE,2,14.2,16.0,0,2000,169964.1,09-28-2021
48,DCSC,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,8.0,0,2000,277802.69,09-28-2021
49,DE-TARDIS,FZK-LCG2,FZK-LCG2_DATADISK,DE,1,12.557,8.0,0,2000,280425.38,09-28-2021
50,DESY-HH,DESY-HH,DESY-HH_DATADISK,DE,2,11.675,8.0,0,2000,236158.28,09-28-2021
51,DESY-HH_GPU,DESY-HH,DESY-HH_DATADISK,DE,2,11.675,8.0,0,2000,236158.28,09-28-2021
52,DESY-HH_HPC,DESY-HH,DESY-HH_DATADISK,DE,2,11.675,64.0,0,2000,236158.28,09-28-2021
53,DESY-ZN,DESY-ZN,DESY-ZN_DATADISK,DE,2,20.93,8.0,0,2000,231213.06,09-28-2021
54,EELA-UTFSM,EELA-UTFSM,EELA-UTFSM_DATADISK,ES,2,11.565,8.0,0,2000,65609.89,09-28-2021
55,FMPhI-UNIBA,FMPhI-UNIBA,FMPHI-UNIBA_DATADISK,DE,2,10.513,8.0,0,2000,61603.36,09-28-2021
56,FRESNO-EKS-REMOTE,FRESNO-ATLAS-T3,SWT2_CPB_DATADISK,US,3,10.0,8.0,0,2000,277760.94,09-28-2021
57,FZK-LCG2,FZK-LCG2,FZK-LCG2_DATADISK,DE,1,10.4,8.0,0,2000,280425.38,09-28-2021
58,GRIF-IRFU,GRIF,GRIF-IRFU_DATADISK,FR,2,11.047,8.0,0,2000,284713.83,09-28-2021
59,GRIF-LAL,GRIF,GRIF-LAL_DATADISK,FR,2,10.0,8.0,0,8000,195042.07,09-28-2021
60,GRIF-LPNHE,GRIF,GRIF-LPNHE_DATADISK,FR,2,11.047,8.0,0,2000,140996.54,09-28-2021
61,GoeGrid,GoeGrid,GOEGRID_DATADISK,DE,2,9.0,8.0,0,2000,854968.08,09-28-2021
62,HEPHY-UIBK,HEPHY-UIBK,LRZ-LMU_DATADISK,DE,2,8.458,8.0,0,2000,323130.32,09-28-2021
63,HONGKONG,HK-LCG2,BEIJING-LCG2_DATADISK,FR,2,10.0,8.0,0,6000,34795.07,09-28-2021
64,HPC2N,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,7.0,0,2000,277802.69,09-28-2021
65,IEPSAS-Kosice,IEPSAS-Kosice,IEPSAS-KOSICE_DATADISK,DE,2,15.96,8.0,0,2000,166953.93,09-28-2021
66,IFIC,IFIC-LCG2,IFIC-LCG2_DATADISK,ES,2,12.968,8.0,0,2000,247555.12,09-28-2021
67,IFIC_Lusitania2,IFIC-LCG2,IFIC-LCG2_DATADISK,ES,2,17.7,16.0,0,2000,247555.12,09-28-2021
68,IFIC_MareNostrum4,IFIC-LCG2,IFIC-LCG2_DATADISK,ES,2,16.75,48.0,0,2000,247555.12,09-28-2021
