"RSE","ACTIVITY","N_REQUESTS","GB","SITE","CLOUD"
IN2P3-CC_DATADISK,Functional Test,21,0.02,IN2P3-CC,FR
MWT2_DATADISK,Functional Test,13,0.01,MWT2,US
IN2P3-CPPM_DATADISK,Analysis Input,16,13.14,IN2P3-CPPM,FR
CA-SFU-T2_DATADISK,Functional Test,6,0.01,CA-SFU-T2,CA
SWT2_CPB_DATADISK,Functional Test,10,0.01,SWT2_CPB,US
TR-10-ULAKBIM_DATADISK,Data rebalancing,185,202.2,TR-10-ULAKBIM,NL
PRAGUELCG2_DATADISK,Functional Test,6,0.01,praguelcg2,DE
IN2P3-LPSC_DATADISK,Analysis Input,50,152.03,IN2P3-LPSC,FR
NESE_DATADISK,Functional Test,8,0.01,BU_NESE,US
CSCS-LCG2_DATADISK,Data Consolidation,48,9.41,CSCS-LCG2,DE
IN2P3-LPSC_DATADISK,Data Consolidation,2,4.46,IN2P3-LPSC,FR
BNL-OSG2_DATADISK,Data Consolidation,2,0.13,BNL-ATLAS,US
PRAGUELCG2_DATADISK,Production Output,9,10.98,praguelcg2,DE
AUSTRALIA-ATLAS_DATADISK,Analysis Input,48,95.65,Australia-ATLAS,CA
WUPPERTALPROD_DATADISK,Staging,1,0.34,wuppertalprod,DE
NET2_DATADISK,Production Input,2,1.29,BU_ATLAS_Tier2,US
UNIBE-LHEP_DATADISK,Production Output,2,0,UNIBE-LHEP,ND
NET2_DATADISK,Data rebalancing,41,64.68,BU_ATLAS_Tier2,US
TECHNION-HEP_DATADISK,Data Consolidation,7,46.67,TECHNION-HEP,NL
NET2_DATADISK,Production Output,3,0.36,BU_ATLAS_Tier2,US
TAIWAN-LCG2_DATADISK,Functional Test,24,0.02,Taiwan-LCG2,TW
CA-SFU-T2_DATADISK,Production Output,3,0.07,CA-SFU-T2,CA
IEPSAS-KOSICE_DATADISK,Data rebalancing,42,65.11,IEPSAS-Kosice,DE
INFN-MILANO-ATLASC_DATADISK,Analysis Input,12,13.34,INFN-MILANO-ATLASC,IT
AUSTRALIA-ATLAS_DATADISK,Data rebalancing,1,1.04,Australia-ATLAS,CA
PIC_DATADISK,T0 Export,2228,13807.48,pic,ES
MPPMU_DATADISK,Production Input,316,2910.36,MPPMU,DE
TOKYO-LCG2_DATADISK,Analysis Input,106,185.05,TOKYO-LCG2,FR
RU-PROTVINO-IHEP_DATADISK,Data Consolidation,1777,10320.7,RU-Protvino-IHEP,RU
UKI-NORTHGRID-MAN-HEP_DATADISK,Analysis Input,661,173.96,UKI-NORTHGRID-MAN-HEP,UK
FZK-LCG2_DATADISK,Data rebalancing,20283,21126.55,FZK-LCG2,DE
IEPSAS-KOSICE_DATADISK,Analysis Input,173,53.57,IEPSAS-Kosice,DE
JINR-LCG2_DATADISK,User Subscriptions,2,0,JINR-LCG2,RU
SARA-MATRIX_DATADISK,Production Input,1,0.57,SARA-MATRIX,NL
UNI-FREIBURG_DATADISK,Staging,954,1099.1,UNI-FREIBURG,DE
AGLT2_DATADISK,Data Consolidation,77,12.86,AGLT2,US
TECHNION-HEP_DATADISK,Analysis Input,32,10.82,TECHNION-HEP,NL
GRIF-LPNHE_DATADISK,Data Consolidation,1,4.36,GRIF-LPNHE,FR
NIKHEF_DATADISK,Production Output,19,20.52,NIKHEF,NL
SARA-MATRIX_DATADISK,User Subscriptions,1,0,SARA-MATRIX,NL
UKI-LT2-QMUL_DATADISK,Production Input,48,27.37,UKI-LT2-QMUL,UK
INFN-NAPOLI-ATLAS_DATADISK,Functional Test,10,0.01,INFN-NAPOLI-ATLAS,IT
IFIC-LCG2_DATADISK,Analysis Input,979,294.63,IFIC-LCG2,ES
MWT2_DATADISK,Analysis Input,14,57.4,MWT2,US
FMPHI-UNIBA_DATADISK,Functional Test,5,0,FMPhI-UNIBA,DE
PIC_DATADISK,Production Output,35,16.79,pic,ES
NDGF-T1_DATADISK,Production Output,28,49.62,NDGF-T1,ND
UKI-NORTHGRID-MAN-HEP_DATADISK,Functional Test,8,0.01,UKI-NORTHGRID-MAN-HEP,UK
INFN-NAPOLI-ATLAS_DATADISK,Recovery,11,5.42,INFN-NAPOLI-ATLAS,IT
PRAGUELCG2_DATADISK,Data Consolidation,3,0.45,praguelcg2,DE
MWT2_DATADISK,User Subscriptions,1,0,MWT2,US
PIC_DATADISK,Data Consolidation,51,2.18,pic,ES
UKI-NORTHGRID-LIV-HEP_DATADISK,Production Input,1,8.68,UKI-NORTHGRID-LIV-HEP,UK
UKI-NORTHGRID-LANCS-HEP_DATADISK,Functional Test,10,0.01,UKI-NORTHGRID-LANCS-HEP,UK
RO-07-NIPNE_DATADISK,Data Consolidation,52,273.9,RO-07-NIPNE,FR
UKI-LT2-QMUL_DATADISK,Staging,326,710.96,UKI-LT2-QMUL,UK
JINR-LCG2_DATADISK,Functional Test,5,0,JINR-LCG2,RU
NESE_DATADISK,Data Consolidation,13,8.08,BU_NESE,US
IN2P3-CPPM_DATADISK,Functional Test,11,0.01,IN2P3-CPPM,FR
BNL-OSG2_DATADISK,Functional Test,25,0.02,BNL-ATLAS,US
BEIJING-LCG2_DATADISK,Functional Test,7,0.01,BEIJING-LCG2,FR
NDGF-T1_DATADISK,Functional Test,23,0.02,NDGF-T1,ND
NIKHEF_DATADISK,User Subscriptions,184,244.78,NIKHEF,NL
SLACXRD_DATADISK,Analysis Input,69,66.33,WT2,US
CSCS-LCG2_DATADISK,Data rebalancing,37,44.04,CSCS-LCG2,DE
PIC_DATADISK,Functional Test,48,0.05,pic,ES
CSCS-LCG2_DATADISK,Functional Test,4,0,CSCS-LCG2,DE
GRIF-LPNHE_DATADISK,Functional Test,8,0.01,GRIF-LPNHE,FR
RRC-KI-T1_DATADISK,Data Consolidation,8,1.36,RRC-KI-T1,RU
MPPMU_DATADISK,Functional Test,6,0.01,MPPMU,DE
IFAE_DATADISK,User Subscriptions,1,0,ifae,ES
RO-07-NIPNE_DATADISK,Production Input,1,6.32,RO-07-NIPNE,FR
FZK-LCG2_DATADISK,Production Output,18,12.1,FZK-LCG2,DE
INFN-ROMA1_DATADISK,Production Input,10,14.76,INFN-ROMA1,IT
JINR-LCG2_DATADISK,Production Output,3,1.72,JINR-LCG2,RU
UKI-SCOTGRID-DURHAM_DATADISK,Production Input,6,6.57,UKI-SCOTGRID-DURHAM,UK
IN2P3-LAPP_DATADISK,Analysis Input,98,23.52,IN2P3-LAPP,FR
UKI-SOUTHGRID-RALPP_DATADISK,Functional Test,4,0,UKI-SOUTHGRID-RALPP,UK
HK-LCG2_DATADISK,Data Consolidation,16,135.37,HK-LCG2,FR
AGLT2_DATADISK,Production Output,1,0.02,AGLT2,US
CA-VICTORIA-WESTGRID-T2_DATADISK,User Subscriptions,3,2.44,CA-VICTORIA-WESTGRID-T2,CA
CA-VICTORIA-WESTGRID-T2_DATADISK,Data rebalancing,397,555.37,CA-VICTORIA-WESTGRID-T2,CA
GOEGRID_DATADISK,Production Input,2,1.08,GoeGrid,DE
CA-VICTORIA-WESTGRID-T2_DATADISK,Production Input,2,1.1,CA-VICTORIA-WESTGRID-T2,CA
FMPHI-UNIBA_DATADISK,Production Output,2,1.72,FMPhI-UNIBA,DE
SAMPA_DATADISK,Production Output,1,0,SAMPA,ES
UKI-NORTHGRID-LIV-HEP_DATADISK,Production Output,2,0,UKI-NORTHGRID-LIV-HEP,UK
NESE_DATADISK,User Subscriptions,1,0,BU_NESE,US
UKI-NORTHGRID-MAN-HEP_DATADISK,Data Consolidation,1,0.22,UKI-NORTHGRID-MAN-HEP,UK
FMPHI-UNIBA_DATADISK,Production Input,1,5.43,FMPhI-UNIBA,DE
UKI-SOUTHGRID-RALPP_DATADISK,Analysis Input,478,107.62,UKI-SOUTHGRID-RALPP,UK
WUPPERTALPROD_DATADISK,User Subscriptions,1,0,wuppertalprod,DE
INFN-FRASCATI_DATADISK,Production Output,1,0.04,INFN-FRASCATI,IT
OU_OSCER_ATLAS_DATADISK,Data rebalancing,196,474.26,OU_OSCER_ATLAS,US
CA-SFU-T2_DATADISK,Data rebalancing,177,233.98,CA-SFU-T2,CA
RO-07-NIPNE_DATADISK,Data rebalancing,869,1492.33,RO-07-NIPNE,FR
TRIUMF-LCG2_DATADISK,Functional Test,2339,2.28,TRIUMF-LCG2,CA
TOKYO-LCG2_DATADISK,Staging,8971,5479.51,TOKYO-LCG2,FR
IN2P3-CC_DATADISK,Data rebalancing,25925,26942.3,IN2P3-CC,FR
MWT2_DATADISK,Staging,1952,1853.07,MWT2,US
IN2P3-CC_DATADISK,Production Output,30,8.31,IN2P3-CC,FR
FZK-LCG2_DATADISK,Data Consolidation,55,345.81,FZK-LCG2,DE
NDGF-T1_DATADISK,Production Input,29,23.31,NDGF-T1,ND
RRC-KI-T1_DATADISK,Production Output,24,5.14,RRC-KI-T1,RU
UKI-SOUTHGRID-RALPP_DATADISK,Data rebalancing,76,180.56,UKI-SOUTHGRID-RALPP,UK
IFAE_DATADISK,Production Input,3,1.71,ifae,ES
IN2P3-LPSC_DATADISK,Functional Test,8,0.01,IN2P3-LPSC,FR
CA-WATERLOO-T2_DATADISK,Analysis Input,17,153.7,CA-WATERLOO-T2,CA
TAIWAN-LCG2_DATADISK,Data Consolidation,37,191.17,Taiwan-LCG2,TW
WUPPERTALPROD_DATADISK,Functional Test,12,0.01,wuppertalprod,DE
INFN-NAPOLI-ATLAS_DATADISK,Production Input,17,3.39,INFN-NAPOLI-ATLAS,IT
UKI-NORTHGRID-MAN-HEP_DATADISK,Production Input,26,134.13,UKI-NORTHGRID-MAN-HEP,UK
GOEGRID_DATADISK,Functional Test,11,0.01,GoeGrid,DE
GRIF-LPNHE_DATADISK,Data rebalancing,540,561.75,GRIF-LPNHE,FR
UKI-LT2-RHUL_DATADISK,Analysis Input,37,28.12,UKI-LT2-RHUL,UK
SARA-MATRIX_DATADISK,Data Consolidation,10,2.04,SARA-MATRIX,NL
NIKHEF_DATADISK,Staging,402,1490.45,NIKHEF,NL
PIC_DATADISK,User Subscriptions,1,0,pic,ES
INFN-T1_DATADISK,Functional Test,22,0.02,INFN-T1,IT
IEPSAS-KOSICE_DATADISK,Functional Test,13,0.01,IEPSAS-Kosice,DE
DESY-HH_DATADISK,Express,9,21.33,DESY-HH,DE
UNIBE-LHEP_DATADISK,Functional Test,5,0,UNIBE-LHEP,ND
INFN-FRASCATI_DATADISK,User Subscriptions,4,0,INFN-FRASCATI,IT
RAL-LCG2-ECHO_DATADISK,User Subscriptions,1,0,RAL-LCG2,UK
CA-SFU-T2_DATADISK,User Subscriptions,1,0,CA-SFU-T2,CA
AGLT2_DATADISK,Data rebalancing,1641,2937.82,AGLT2,US
UNI-FREIBURG_DATADISK,Production Output,2,4.34,UNI-FREIBURG,DE
IN2P3-LPC_DATADISK,Data Consolidation,4,21.01,IN2P3-LPC,FR
GRIF-IRFU_DATADISK,Production Output,10,2.68,GRIF-IRFU,FR
UKI-SCOTGRID-ECDF_DATADISK,Production Output,1,0.02,UKI-SCOTGRID-ECDF,UK
INFN-T1_DATADISK,Production Output,3,1.73,INFN-T1,IT
TOKYO-LCG2_DATADISK,Production Input,4,18.87,TOKYO-LCG2,FR
IFIC-LCG2_DATADISK,Staging,2,12.4,IFIC-LCG2,ES
