"RSE","ACTIVITY","N_REQUESTS","GB","SITE","CLOUD"
TRIUMF-LCG2_DATADISK,Data Consolidation,1671,2837.19,TRIUMF-LCG2,CA
NDGF-T1_DATADISK,Data Consolidation,88,190.08,NDGF-T1,ND
RRC-KI-T1_DATADISK,Data rebalancing,5709,5967.78,RRC-KI-T1,RU
IN2P3-CPPM_DATADISK,Production Output,10,3.67,IN2P3-CPPM,FR
INFN-ROMA1_DATADISK,Functional Test,9,0.01,INFN-ROMA1,IT
MWT2_DATADISK,Data rebalancing,832,1994.53,MWT2,US
MPPMU_DATADISK,Staging,4327,2547.56,MPPMU,DE
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,Functional Test,7,0.01,UKI-SCOTGRID-GLASGOW,UK
INFN-ROMA1_DATADISK,Analysis Input,4,21.54,INFN-ROMA1,IT
BNLHPC_DATADISK,Globus Online Test,2,0,BNLHPC,US
CA-UVIC-CLOUD_DATADISK,Production Output,2,1.72,CA-UVic-Cloud,CA
SWT2_CPB_DATADISK,Analysis Input,68,41.27,SWT2_CPB,US
LRZ-LMU_DATADISK,Express,6,14.28,LRZ-LMU,DE
RRC-KI-T1_DATADISK,Staging,264,741.76,RRC-KI-T1,RU
IN2P3-LPSC_DATADISK,User Subscriptions,3,1.11,IN2P3-LPSC,FR
NDGF-T1_DATADISK,Analysis Input,472,333.2,NDGF-T1,ND
NET2_DATADISK,Data Consolidation,4,0.08,BU_ATLAS_Tier2,US
UNI-FREIBURG_DATADISK,Functional Test,11,0.01,UNI-FREIBURG,DE
DESY-HH_DATADISK,Production Output,5,4.97,DESY-HH,DE
NET2_DATADISK,Functional Test,4,0,BU_ATLAS_Tier2,US
IN2P3-LPSC_DATADISK,Production Output,1,0,IN2P3-LPSC,FR
RU-PROTVINO-IHEP_DATADISK,Functional Test,11,0.01,RU-Protvino-IHEP,RU
NESE_DATADISK,Data rebalancing,109,303.98,BU_NESE,US
RRC-KI-T1_DATADISK,Production Input,3,7.37,RRC-KI-T1,RU
UNI-FREIBURG_DATADISK,Data Consolidation,4,0.79,UNI-FREIBURG,DE
TAIWAN-LCG2_DATADISK,Production Output,1,0.86,Taiwan-LCG2,TW
UKI-NORTHGRID-LANCS-HEP_DATADISK,Data Consolidation,1,2.6,UKI-NORTHGRID-LANCS-HEP,UK
PRAGUELCG2_DATADISK,User Subscriptions,1,0,praguelcg2,DE
FZK-LCG2_DATADISK,Production Input,3,9.76,FZK-LCG2,DE
NET2_DATADISK,User Subscriptions,1,0,BU_ATLAS_Tier2,US
GOEGRID_DATADISK,User Subscriptions,1,0,GoeGrid,DE
UKI-NORTHGRID-MAN-HEP_DATADISK,Staging,231,1309.03,UKI-NORTHGRID-MAN-HEP,UK
NCG-INGRID-PT_DATADISK,Analysis Input,10,11.2,NCG-INGRID-PT,ES
IN2P3-LPC_DATADISK,Data rebalancing,557,709.99,IN2P3-LPC,FR
INFN-MILANO-ATLASC_DATADISK,Data rebalancing,204,513.67,INFN-MILANO-ATLASC,IT
BNL-OSG2_DATADISK,Analysis Input,5480,1917.73,BNL-ATLAS,US
FZK-LCG2_DATADISK,Analysis Input,1028,332.6,FZK-LCG2,DE
NIKHEF_DATADISK,Analysis Input,128,313.72,NIKHEF,NL
GRIF-LAL_DATADISK,Functional Test,3,0,GRIF-LAL,FR
RAL-LCG2-ECHO_DATADISK,Production Input,2137,2477.03,RAL-LCG2,UK
GRIF-LAL_DATADISK,Analysis Input,82,35.72,GRIF-LAL,FR
CERN-PROD_DATADISK,User Subscriptions,405,552.76,CERN-PROD,CERN
NIKHEF_DATADISK,Data rebalancing,5445,5626.55,NIKHEF,NL
AGLT2_DATADISK,Functional Test,7,0.01,AGLT2,US
LRZ-LMU_DATADISK,Functional Test,10,0.01,LRZ-LMU,DE
SWT2_CPB_DATADISK,Staging,40,304.69,SWT2_CPB,US
UKI-LT2-QMUL_DATADISK,Analysis Input,1234,339.88,UKI-LT2-QMUL,UK
UKI-LT2-QMUL_DATADISK,Production Output,16,16.27,UKI-LT2-QMUL,UK
CA-SFU-T2_DATADISK,Staging,55,388.93,CA-SFU-T2,CA
SWT2_CPB_DATADISK,Production Output,22,16.62,SWT2_CPB,US
FZK-LCG2_DATADISK,Staging,442,1870.85,FZK-LCG2,DE
INFN-T1_DATADISK,Analysis Input,272,121.28,INFN-T1,IT
EELA-UTFSM_DATADISK,Analysis Input,6,1.94,EELA-UTFSM,ES
LRZ-LMU_DATADISK,Analysis Input,439,98.39,LRZ-LMU,DE
CA-SFU-T2_DATADISK,Data Consolidation,6,1.01,CA-SFU-T2,CA
PRAGUELCG2_DATADISK,Analysis Input,16,63.84,praguelcg2,DE
IN2P3-CPPM_DATADISK,Staging,7,12.46,IN2P3-CPPM,FR
UKI-LT2-RHUL_DATADISK,Production Input,31,90.37,UKI-LT2-RHUL,UK
IFAE_DATADISK,Analysis Input,10,11.2,ifae,ES
EELA-UTFSM_DATADISK,Data rebalancing,241,676.94,EELA-UTFSM,ES
SAMPA_DATADISK,User Subscriptions,1,0,SAMPA,ES
TECHNION-HEP_DATADISK,User Subscriptions,2,0,TECHNION-HEP,NL
IN2P3-LAPP_DATADISK,Functional Test,5,0,IN2P3-LAPP,FR
IFAE_DATADISK,Production Output,2,0,ifae,ES
UKI-LT2-QMUL_DATADISK,Functional Test,8,0.01,UKI-LT2-QMUL,UK
AGLT2_DATADISK,User Subscriptions,2,0,AGLT2,US
CYFRONET-LCG2_DATADISK,Functional Test,7,0.01,CYFRONET-LCG2,DE
DESY-HH_DATADISK,Data Consolidation,2,0.35,DESY-HH,DE
CA-WATERLOO-T2_DATADISK,User Subscriptions,1,0,CA-WATERLOO-T2,CA
RRC-KI-T1_DATADISK,Functional Test,21,0.02,RRC-KI-T1,RU
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,Analysis Input,4,9.92,UKI-SCOTGRID-GLASGOW,UK
INFN-NAPOLI-ATLAS_DATADISK,Data Consolidation,6,1.33,INFN-NAPOLI-ATLAS,IT
AGLT2_DATADISK,Recovery,1,0,AGLT2,US
UAM-LCG2_DATADISK,Production Output,1,0,UAM-LCG2,ES
NDGF-T1_DATADISK,User Subscriptions,2,1.21,NDGF-T1,ND
IN2P3-LPC_DATADISK,User Subscriptions,1,0,IN2P3-LPC,FR
TRIUMF-LCG2_DATADISK,User Subscriptions,1,0,TRIUMF-LCG2,CA
IN2P3-LAPP_DATADISK,Staging,1,5.42,IN2P3-LAPP,FR
TECHNION-HEP_DATADISK,Data rebalancing,238,523.17,TECHNION-HEP,NL
UKI-LT2-QMUL_DATADISK,Data rebalancing,255,484.61,UKI-LT2-QMUL,UK
UAM-LCG2_DATADISK,Data rebalancing,338,736.7,UAM-LCG2,ES

