"TIMESTAMP","RSE","FREE_BYTES","FREE_GB","SITE","CLOUD"
2021-09-22 12:52:31.000,LRZ-LMU_DATADISK,363313870343153,338362.41,LRZ-LMU,DE
2021-09-22 12:52:31.000,EELA-UTFSM_DATADISK,86336395587974,80407.03,EELA-UTFSM,ES
2021-09-22 12:52:31.000,NESE_DATADISK,253834402283280,236401.71,BU_NESE,US
2021-09-22 12:52:31.000,NDGF-T1_DATADISK,668652473051358,622731.14,NDGF-T1,ND
2021-09-22 12:52:31.000,HK-LCG2_DATADISK,506877599150278,472066.55,HK-LCG2,FR
2021-09-22 12:52:31.000,WUPPERTALPROD_DATADISK,257099572305531,239442.64,wuppertalprod,DE
2021-09-22 12:52:31.000,INFN-COSENZA_DATADISK,34685857477306,32303.72,INFN-COSENZA,IT
2021-09-22 12:52:31.000,CSCS-LCG2_DATADISK,236644719390314,220392.57,CSCS-LCG2,DE
2021-09-22 12:52:31.000,CA-UVIC-CLOUD_DATADISK,2174455774377,2025.12,CA-UVic-Cloud,CA
2021-09-22 12:52:31.000,UKI-LT2-BRUNEL_DATADISK,11864299967376,11049.49,UKI-LT2-Brunel,UK
2021-09-22 12:52:31.000,IFIC-LCG2_DATADISK,237021454284000,220743.43,IFIC-LCG2,ES
2021-09-22 12:52:31.000,GRIF-IRFU_DATADISK,228149451808783,212480.73,GRIF-IRFU,FR
2021-09-22 12:52:31.000,INFN-ROMA3_DATADISK,3012426170368,2805.54,INFN-ROMA3,IT
2021-09-22 12:52:31.000,IN2P3-CPPM_DATADISK,214247774373280,199533.79,IN2P3-CPPM,FR
2021-09-22 12:52:31.000,PIC_DATADISK,296054458574069,275722.2,pic,ES
2021-09-22 12:52:31.000,IEPSAS-KOSICE_DATADISK,179265412275585,166953.93,IEPSAS-Kosice,DE
2021-09-22 12:52:31.000,SAMPA_DATADISK,130700341784783,121724.18,SAMPA,ES
2021-09-22 12:52:31.000,IN2P3-LAPP_DATADISK,268199439186416,249780.19,IN2P3-LAPP,FR
2021-09-22 12:52:31.000,IN2P3-LPSC_DATADISK,122621425670093,114200.1,IN2P3-LPSC,FR
2021-09-22 12:52:31.000,INFN-T1_DATADISK,273861659318735,255053.55,INFN-T1,IT
2021-09-22 12:52:31.000,DESY-HH_DATADISK,159282748810410,148343.62,DESY-HH,DE
2021-09-22 12:52:31.000,UKI-NORTHGRID-LIV-HEP_DATADISK,80514976101681,74985.41,UKI-NORTHGRID-LIV-HEP,UK
2021-09-22 12:52:31.000,IFAE_DATADISK,64249350021431,59836.87,ifae,ES
2021-09-22 12:52:31.000,RAL-LCG2-ECHO_DATADISK,15340000000000001,14286488.29,RAL-LCG2,UK
2021-09-22 12:52:31.000,TRIUMF-LCG2_DATADISK,276773744630845,257765.64,TRIUMF-LCG2,CA
2021-09-22 12:52:31.000,INFN-NAPOLI-ATLAS_DATADISK,160292196913349,149283.74,INFN-NAPOLI-ATLAS,IT
2021-09-22 12:52:31.000,INFN-FRASCATI_DATADISK,154054941645727,143474.84,INFN-FRASCATI,IT
2021-09-22 12:52:31.000,CYFRONET-LCG2_DATADISK,176276507296577,164170.29,CYFRONET-LCG2,DE
