"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
CERN-PROD_DATADISK,SLACXRD_DATADISK,CERN-PROD,WT2,CERN,US,2
CERN-PROD_DATADISK,TAIWAN-LCG2_DATADISK,CERN-PROD,Taiwan-LCG2,CERN,TW,2
CERN-PROD_DATADISK,TRIUMF-LCG2_DATADISK,CERN-PROD,TRIUMF-LCG2,CERN,CA,2
IN2P3-CC_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,IN2P3-CC,CERN-PROD,FR,CERN,2
BNL-OSG2_DATADISK,AGLT2_DATADISK,BNL-ATLAS,AGLT2,US,US,2
BNL-OSG2_DATADISK,CERN-PROD_DATADISK,BNL-ATLAS,CERN-PROD,US,CERN,2
BNL-OSG2_DATADISK,DESY-HH_DATADISK,BNL-ATLAS,DESY-HH,US,DE,2
BNL-OSG2_DATADISK,FZK-LCG2_DATADISK,BNL-ATLAS,FZK-LCG2,US,DE,2
AGLT2_DATADISK,BNL-OSG2_DATADISK,AGLT2,BNL-ATLAS,US,US,2
AGLT2_DATADISK,FZK-LCG2_DATADISK,AGLT2,FZK-LCG2,US,DE,2
MWT2_DATADISK,NDGF-T1_DATADISK,MWT2,NDGF-T1,US,ND,2
TAIWAN-LCG2_DATADISK,BNL-OSG2_DATADISK,Taiwan-LCG2,BNL-ATLAS,TW,US,2
CERN-PROD_DATADISK,TOKYO-LCG2_DATADISK,CERN-PROD,TOKYO-LCG2,CERN,FR,2
CERN-PROD_DATADISK,SWT2_CPB_DATADISK,CERN-PROD,SWT2_CPB,CERN,US,2
BNL-OSG2_DATADISK,TOKYO-LCG2_DATADISK,BNL-ATLAS,TOKYO-LCG2,US,FR,2
TOKYO-LCG2_DATADISK,BNL-OSG2_DATADISK,TOKYO-LCG2,BNL-ATLAS,FR,US,2
IN2P3-CC_DATADISK,RAL-LCG2-ECHO_DATADISK,IN2P3-CC,RAL-LCG2,FR,UK,2
CERN-PROD_DATADISK,INFN-ROMA1_DATADISK,CERN-PROD,INFN-ROMA1,CERN,IT,2
CERN-PROD_DATADISK,MPPMU_DATADISK,CERN-PROD,MPPMU,CERN,DE,2
FZK-LCG2_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,FZK-LCG2,CERN-PROD,DE,CERN,2
AGLT2_DATADISK,INFN-T1_DATADISK,AGLT2,INFN-T1,US,IT,2
CERN-PROD-RUCIOTEST_DATADISK,RAL-LCG2-ECHO_DATADISK,CERN-PROD,RAL-LCG2,CERN,UK,2
CERN-PROD_DATADISK,RAL-LCG2-ECHO_DATADISK,CERN-PROD,RAL-LCG2,CERN,UK,2
FZK-LCG2_DATADISK,NET2_DATADISK,FZK-LCG2,BU_ATLAS_Tier2,DE,US,2
CERN-PROD_DATADISK,NDGF-T1_DATADISK,CERN-PROD,NDGF-T1,CERN,ND,2
CERN-PROD-RUCIOTEST_DATADISK,AGLT2_DATADISK,CERN-PROD,AGLT2,CERN,US,2
CERN-PROD-RUCIOTEST_DATADISK,LRZ-LMU_DATADISK,CERN-PROD,LRZ-LMU,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,NDGF-T1_DATADISK,CERN-PROD,NDGF-T1,CERN,ND,2
CERN-PROD-RUCIOTEST_DATADISK,PIC_DATADISK,CERN-PROD,pic,CERN,ES,2
CERN-PROD-RUCIOTEST_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,CERN-PROD,,CERN,,2
BNL-OSG2_DATADISK,IN2P3-CC_DATADISK,BNL-ATLAS,IN2P3-CC,US,FR,2
BNL-OSG2_DATADISK,SLACXRD_DATADISK,BNL-ATLAS,WT2,US,US,2
CERN-PROD_DATADISK,IN2P3-LAPP_DATADISK,CERN-PROD,IN2P3-LAPP,CERN,FR,2
NDGF-T1_DATADISK,BNL-OSG2_DATADISK,NDGF-T1,BNL-ATLAS,ND,US,2
UKI-LT2-QMUL_DATADISK,BNL-OSG2_DATADISK,UKI-LT2-QMUL,BNL-ATLAS,UK,US,2
BNL-OSG2_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,BNL-ATLAS,CERN-PROD,US,CERN,2
SARA-MATRIX_DATADISK,BNL-OSG2_DATADISK,SARA-MATRIX,BNL-ATLAS,NL,US,2
CERN-PROD-RUCIOTEST_DATADISK,SWT2_CPB_DATADISK,CERN-PROD,SWT2_CPB,CERN,US,2
UKI-NORTHGRID-MAN-HEP_DATADISK,BNL-OSG2_DATADISK,UKI-NORTHGRID-MAN-HEP,BNL-ATLAS,UK,US,2
TRIUMF-LCG2_DATADISK,BNL-OSG2_DATADISK,TRIUMF-LCG2,BNL-ATLAS,CA,US,2
SWT2_CPB_DATADISK,BNL-OSG2_DATADISK,SWT2_CPB,BNL-ATLAS,US,US,2
RRC-KI-T1_DATADISK,BNL-OSG2_DATADISK,RRC-KI-T1,BNL-ATLAS,RU,US,2
NET2_DATADISK,BNL-OSG2_DATADISK,BU_ATLAS_Tier2,BNL-ATLAS,US,US,2
PIC_DATADISK,BNL-OSG2_DATADISK,pic,BNL-ATLAS,ES,US,2
PIC_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,pic,CERN-PROD,ES,CERN,2
PIC_DATADISK,CERN-PROD_DATADISK,pic,CERN-PROD,ES,CERN,2
NET2_DATADISK,MWT2_DATADISK,BU_ATLAS_Tier2,MWT2,US,US,2
MWT2_DATADISK,BNL-OSG2_DATADISK,MWT2,BNL-ATLAS,US,US,2
NDGF-T1_DATADISK,FZK-LCG2_DATADISK,NDGF-T1,FZK-LCG2,ND,DE,2
NDGF-T1_DATADISK,IN2P3-CC_DATADISK,NDGF-T1,IN2P3-CC,ND,FR,2
NDGF-T1_DATADISK,TRIUMF-LCG2_DATADISK,NDGF-T1,TRIUMF-LCG2,ND,CA,2
INFN-T1_DATADISK,BNL-OSG2_DATADISK,INFN-T1,BNL-ATLAS,IT,US,2
MPPMU_DATADISK,BNL-OSG2_DATADISK,MPPMU,BNL-ATLAS,DE,US,2
IN2P3-CC_DATADISK,AGLT2_DATADISK,IN2P3-CC,AGLT2,FR,US,2
IN2P3-CC_DATADISK,BNL-OSG2_DATADISK,IN2P3-CC,BNL-ATLAS,FR,US,2
IN2P3-CC_DATADISK,CERN-PROD_DATADISK,IN2P3-CC,CERN-PROD,FR,CERN,2
IN2P3-CC_DATADISK,FZK-LCG2_DATADISK,IN2P3-CC,FZK-LCG2,FR,DE,2
IN2P3-CC_DATADISK,MWT2_DATADISK,IN2P3-CC,MWT2,FR,US,2
IN2P3-CC_DATADISK,NET2_DATADISK,IN2P3-CC,BU_ATLAS_Tier2,FR,US,2
IN2P3-CC_DATADISK,SWT2_CPB_DATADISK,IN2P3-CC,SWT2_CPB,FR,US,2
CERN-PROD_DATADISK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,CERN-PROD,UKI-SCOTGRID-GLASGOW,CERN,UK,2
CERN-PROD-RUCIOTEST_DATADISK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,CERN-PROD,UKI-SCOTGRID-GLASGOW,CERN,UK,2
FZK-LCG2_DATADISK,CERN-PROD_DATADISK,FZK-LCG2,CERN-PROD,DE,CERN,2
FZK-LCG2_DATADISK,TOKYO-LCG2_DATADISK,FZK-LCG2,TOKYO-LCG2,DE,FR,2
FZK-LCG2_DATADISK,TRIUMF-LCG2_DATADISK,FZK-LCG2,TRIUMF-LCG2,DE,CA,2
FZK-LCG2_DATADISK,IN2P3-CC_DATADISK,FZK-LCG2,IN2P3-CC,DE,FR,2
FZK-LCG2_DATADISK,BNL-OSG2_DATADISK,FZK-LCG2,BNL-ATLAS,DE,US,2
IN2P3-CC_DATADISK,INFN-T1_DATADISK,IN2P3-CC,INFN-T1,FR,IT,2
CERN-PROD-RUCIOTEST_DATADISK,NET2_DATADISK,CERN-PROD,BU_ATLAS_Tier2,CERN,US,2
CERN-PROD-RUCIOTEST_DATADISK,NIKHEF-ELPROD_DATADISK,CERN-PROD,,CERN,,2
CERN-PROD-RUCIOTEST_DATADISK,PRAGUELCG2_DATADISK,CERN-PROD,praguelcg2,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,RO-07-NIPNE_DATADISK,CERN-PROD,RO-07-NIPNE,CERN,FR,2
CERN-PROD-RUCIOTEST_DATADISK,SLACXRD_DATADISK,CERN-PROD,WT2,CERN,US,2
CERN-PROD-RUCIOTEST_DATADISK,TAIWAN-LCG2_DATADISK,CERN-PROD,Taiwan-LCG2,CERN,TW,2
MPPMU_DATADISK,CA-WATERLOO-T2_DATADISK,MPPMU,CA-WATERLOO-T2,DE,CA,3
MWT2_DATADISK,CA-WATERLOO-T2_DATADISK,MWT2,CA-WATERLOO-T2,US,CA,3
NDGF-T1_DATADISK,CA-WATERLOO-T2_DATADISK,NDGF-T1,CA-WATERLOO-T2,ND,CA,3
NET2_DATADISK,CA-WATERLOO-T2_DATADISK,BU_ATLAS_Tier2,CA-WATERLOO-T2,US,CA,3
BNL-OSG2_DATADISK,CA-VICTORIA-WESTGRID-T2_DATADISK,BNL-ATLAS,CA-VICTORIA-WESTGRID-T2,US,CA,3
BNL-OSG2_DATADISK,CSCS-LCG2_DATADISK,BNL-ATLAS,CSCS-LCG2,US,DE,3
BNL-OSG2_DATADISK,DESY-ZN_DATADISK,BNL-ATLAS,DESY-ZN,US,DE,3
BNL-OSG2_DATADISK,EELA-UTFSM_DATADISK,BNL-ATLAS,EELA-UTFSM,US,ES,3
BNL-OSG2_DATADISK,FMPHI-UNIBA_DATADISK,BNL-ATLAS,FMPhI-UNIBA,US,DE,3
BNL-OSG2_DATADISK,GOEGRID_DATADISK,BNL-ATLAS,GoeGrid,US,DE,3
BNL-OSG2_DATADISK,GRIF-IRFU_DATADISK,BNL-ATLAS,GRIF-IRFU,US,FR,3
UKI-NORTHGRID-MAN-HEP_DATADISK,OU_OSCER_ATLAS_DATADISK,UKI-NORTHGRID-MAN-HEP,OU_OSCER_ATLAS,UK,US,3
AUSTRALIA-ATLAS_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,Australia-ATLAS,CERN-PROD,CA,CERN,3
INFN-T1_DATADISK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,INFN-T1,UKI-SCOTGRID-GLASGOW,IT,UK,3
