,datetime,queue,running,queued,transferring,queue_occupancy,queue_efficiency,site,cloud,rse
153,2021-09-19,IN2P3-CPPM_LAKE,48,323,41,0.1486,0.9565,IN2P3-CPPM,FR,IN2P3-LAPP_DATADISK
154,2021-09-19,NIKHEF_TEST,1,7,0,0.1429,0.9985,NIKHEF-ELPROD,NL,NIKHEF_DATADISK
155,2021-09-19,HPC2N,139,979,19,0.142,0.7471,NDGF-T1,ND,NDGF-T1_DATADISK
156,2021-09-19,SARA-MATRIX,1180,9897,42,0.1192,0.5209,SARA-MATRIX,NL,SARA-MATRIX_DATADISK
157,2021-09-19,DCSC,351,3013,0,0.1165,0.6769,NDGF-T1,ND,NDGF-T1_DATADISK
158,2021-09-19,AZ-IFAN,110,1250,209,0.088,0.2878,AZ-IFAN,NL,FZK-LCG2_DATADISK
159,2021-09-19,CERN-P1_UCORE,99,1179,1,0.084,0.5161,CERN-PROD,CERN,CERN-PROD_DATADISK
160,2021-09-19,CERN-EXTENSION,10,122,1,0.082,0.0,CERN-PROD,CERN,CERN-PROD_DATADISK
161,2021-09-19,Vega_largemem,271,3505,0,0.0773,0.7466,SiGNET,ND,NDGF-T1_DATADISK
162,2021-09-19,AGLT2_VHIMEM,309,4299,4,0.0719,0.9846,AGLT2,US,AGLT2_DATADISK
163,2021-09-19,BEIJING_MCORE,35,532,44,0.0658,0.9691,BEIJING-LCG2,FR,BEIJING-LCG2_DATADISK
164,2021-09-19,ARC-TEST,1,17,0,0.0588,0.8722,NDGF-T1,ND,NDGF-T1_DATADISK
165,2021-09-19,TR-10-ULAKBIM_UCORE,12,274,44,0.0438,0.956,TR-10-ULAKBIM,NL,TR-10-ULAKBIM_DATADISK
166,2021-09-19,ANALY_BNL_VP,76,1939,0,0.0392,0.7088,BNL-ATLAS,US,
167,2021-09-19,UKI-SOUTHGRID-BHAM-HEP_MCOREVAC,6,154,44,0.039,0.9008,UKI-SOUTHGRID-BHAM-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK
168,2021-09-19,IN2P3-LPSC_LAKE,8,289,15,0.0277,0.982,IN2P3-LPSC,FR,IN2P3-CPPM_DATADISK
169,2021-09-19,IN2P3-LPSC_LAKE,8,289,15,0.0277,0.982,IN2P3-LPSC,FR,IN2P3-LPC_DATADISK
170,2021-09-19,IN2P3-LPSC_LAKE,8,289,15,0.0277,0.982,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK
171,2021-09-19,IN2P3-LPSC_LAKE,8,289,15,0.0277,0.982,IN2P3-LPSC,FR,IN2P3-LAPP_DATADISK
172,2021-09-19,DESY-HH_HPC,20,966,59,0.0207,0.9802,DESY-HH,DE,DESY-HH_DATADISK
173,2021-09-19,BEIJING,5,377,70,0.0133,0.0,BEIJING-LCG2,FR,BEIJING-LCG2_DATADISK
174,2021-09-19,pic_MareNostrum4,19,1821,59,0.0104,0.8319,pic,ES,PIC_DATADISK
175,2021-09-19,IN2P3-LPC_LAKE,5,564,1,0.0089,0.0,IN2P3-LPC,FR,IN2P3-CPPM_DATADISK
176,2021-09-19,IN2P3-LPC_LAKE,5,564,1,0.0089,0.0,IN2P3-LPC,FR,IN2P3-LPSC_DATADISK
177,2021-09-19,IN2P3-LPC_LAKE,5,564,1,0.0089,0.0,IN2P3-LPC,FR,IN2P3-LPC_DATADISK
178,2021-09-19,IN2P3-LPC_LAKE,5,564,1,0.0089,0.0,IN2P3-LPC,FR,IN2P3-LAPP_DATADISK
179,2021-09-19,IN2P3-LAPP_LAKE,4,693,1,0.0058,0.9804,IN2P3-LAPP,FR,IN2P3-CPPM_DATADISK
180,2021-09-19,IN2P3-LAPP_LAKE,4,693,1,0.0058,0.9804,IN2P3-LAPP,FR,IN2P3-LPSC_DATADISK
181,2021-09-19,IN2P3-LAPP_LAKE,4,693,1,0.0058,0.9804,IN2P3-LAPP,FR,IN2P3-LAPP_DATADISK
182,2021-09-19,IN2P3-LAPP_LAKE,4,693,1,0.0058,0.9804,IN2P3-LAPP,FR,IN2P3-CC_DATALAKE_DATADISK
183,2021-09-19,IN2P3-LAPP_LAKE,4,693,1,0.0058,0.9804,IN2P3-LAPP,FR,IN2P3-LPC_DATADISK
184,2021-09-19,IFIC_MareNostrum4,2,979,35,0.002,0.6887,IFIC-LCG2,ES,IFIC-LCG2_DATADISK
185,2021-09-19,UAM_MareNostrum4,1,1872,72,0.0005,0.9321,UAM-LCG2,ES,UAM-LCG2_DATADISK
186,2021-09-19,ANALY_BNL_GPU_ARC,0,6,0,0.0,0.9978,BNL-ATLAS-OPP,US,BNL-OSG2_DATADISK
187,2021-09-19,praguelcg2_Barbora_MCORE,0,125,0,0.0,0.3153,praguelcg2,DE,PRAGUELCG2_DATADISK
188,2021-09-19,ANALY_NET2_VP,32,0,0,0.0,0.835,BU_ATLAS_Tier2,US,
189,2021-09-19,ANALY_SLAC_GPU,0,5,0,0.0,0.0,WT2,US,SLACXRD_DATADISK
190,2021-09-19,ARC-TEST_CONDOR,0,12,0,0.0,0.7778,NDGF-T1,ND,NDGF-T1_DATADISK
191,2021-09-19,BNL_PROD_CONTR_TEST,0,175,0,0.0,0.0,BNL-ATLAS,US,BNL-OSG2_DATADISK
192,2021-09-19,CERN-HPC,28,0,29,0.0,0.998,CERN-PROD,CERN,CERN-PROD_DATADISK
193,2021-09-19,CERN-HPC_ES,1,0,0,0.0,0.0,CERN-PROD,CERN,CERN-PROD_DATADISK
194,2021-09-19,HARVESTER_APF_BNL_TEST,0,4,0,0.0,0.0,BNL-ATLAS,US,BNL-OSG2_DATADISK
195,2021-09-19,IN2P3-CPPM-TEST,0,4,0,0.0,0.0,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK
196,2021-09-19,INFN-T1_TEST,0,12,0,0.0,0.0,INFN-T1,IT,INFN-T1_DATADISK
197,2021-09-19,ITEP_PROD,0,4,0,0.0,0.0,ITEP,RU,RRC-KI-T1_DATADISK
198,2021-09-19,NERSC_Cori_p2_ES_Test,0,2,0,0.0,0.0,LBNL_DSD_ITB,US,BNLHPC_DATADISK
199,2021-09-19,NERSC_Cori_p2_ES_Test,0,2,0,0.0,0.0,LBNL_DSD_ITB,US,SLACXRD_DATADISK
200,2021-09-19,PNPI_PROD,0,1,0,0.0,0.0,ru-PNPI,RU,RRC-KI-T1_DATADISK
201,2021-09-19,SLAC_ES,1,0,0,0.0,0.0,WT2,US,SLACXRD_DATADISK
202,2021-09-19,TACC-FRONTERA-UCORE,0,2168,0,0.0,0.0,TACC,US,BNLHPC_DATADISK
203,2021-09-19,TOKYO_HPC,0,18,7,0.0,0.0,TOKYO-LCG2,FR,TOKYO-LCG2_DATADISK
204,2021-09-19,UIO_CLOUD_LOPRI,0,1,0,0.0,0.0,NDGF-T1,ND,NDGF-T1_DATADISK
205,2021-09-19,UKI-SOUTHGRID-SUSX_UCORE,0,5,49,0.0,0.0,UKI-SOUTHGRID-SUSX,UK,UKI-LT2-QMUL_DATADISK
206,2021-09-19,UNI-FREIBURG_MCORE,0,1,0,0.0,0.0,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK
207,2021-09-19,UNIGE-BAOBAB,0,7,0,0.0,0.0,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK
208,2021-09-19,UNIGE-BAOBAB,0,7,0,0.0,0.0,UNIBE-LHEP,ND,NDGF-T1_DATADISK
209,2021-09-19,ANALY_MANC_TEST_SL7,0,7,0,0.0,0.9867,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK
