,rse,Avg tombstone,Difference,Free(storage),Min space,Persistent,Primary diff,Quota(other),Storage Timestamp,Temporary,Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),datetime
122,IN2P3-LPSC_DATADISK,62.71,10.01,123.26,113.25,377.66,-282.09,0.0,,40.55,1132.5,597.46,14.37,0.0,994.87,09-30-2021
126,INFN-COSENZA_DATADISK,24.36,9.69,42.67,32.99,13.64,-193.09,0.0,,0.71,329.85,232.36,50.0,0.0,237.18,09-30-2021
129,INFN-FRASCATI_DATADISK,44.43,12.34,166.27,153.93,506.79,-420.3,0.0,,38.63,1539.32,832.56,37.19,0.0,1335.85,09-30-2021
132,INFN-GENOVA_DATADISK,7.66,1.53,2.41,0.88,0.04,-5.17,0.0,,0.08,8.8,6.28,0.01,0.0,6.38,09-30-2021
137,INFN-MILANO-ATLASC_DATADISK,235.43,288.57,453.5,164.93,513.1,-501.44,0.0,,11.94,1649.27,703.67,3.98,0.0,1191.78,09-30-2021
141,INFN-NAPOLI-ATLAS_DATADISK,18.81,18.73,230.16,211.43,1646.09,472.31,90.0,,217.1,2199.02,156.04,-9.61,84.71,1893.76,09-30-2021
145,INFN-ROMA1_DATADISK,6.46,4.88,164.31,159.43,1284.77,414.6,0.0,,199.53,1594.29,40.26,18.56,0.0,1411.43,09-30-2021
149,INFN-ROMA3_DATADISK,5.67,2.11,2.61,0.5,0.0,-2.67,0.0,,0.31,4.99,1.96,0.1,0.0,2.27,09-30-2021
152,INFN-T1_DATADISK,14.25,-0.16,299.84,300.0,5481.24,1798.04,0.0,,510.13,6700.0,588.68,-6.56,0.0,6406.72,09-30-2021
159,JINR-LCG2_DATADISK,51.74,25.84,117.84,92.0,282.71,-252.94,0.0,,34.09,920.0,744.58,-241.49,0.0,1043.64,09-30-2021
163,LRZ-LMU_DATADISK,45.45,87.31,300.27,212.97,1316.92,267.08,0.0,,252.89,2129.66,296.75,-12.25,0.0,1841.63,09-30-2021
171,MPPMU_DATADISK,10.94,47.39,272.55,225.16,1459.78,391.94,185.0,,317.42,2400.0,241.0,17.13,148.38,1961.94,09-30-2021
174,MWT2_DATADISK,16.64,10.26,310.26,300.0,6883.96,1309.03,0.0,,651.0,9800.0,2157.8,142.91,0.0,9346.83,09-30-2021
178,NCG-INGRID-PT_DATADISK,15.04,2.66,26.36,23.7,38.3,-100.81,0.0,,4.24,237.0,136.82,32.42,0.0,178.21,09-30-2021
181,NDGF-T1_DATADISK,12.71,-14.4,285.6,300.0,9051.47,1708.81,631.0,,962.33,14528.53,3678.93,51.25,465.42,13726.26,09-30-2021
188,NESE_DATADISK,84.3,138.14,438.14,300.0,2632.44,215.57,0.0,,520.12,4418.38,1101.45,12.19,0.0,3968.05,09-30-2021
190,NET2_DATADISK,6.98,-95.08,204.92,300.0,3081.07,794.48,0.0,,310.3,4050.0,518.06,102.54,0.0,3742.53,09-30-2021
195,NIKHEF_DATADISK,15.42,7.27,304.46,297.19,2157.89,482.33,0.0,,220.55,2971.87,393.37,8.58,0.0,2658.83,09-30-2021
199,OLCF_DATADISK,,,,,,,,,,,,,,,09-30-2021
201,OU_OSCER_ATLAS_DATADISK,7.65,122.03,172.03,50.0,103.99,-162.77,0.0,,11.9,500.0,185.52,5.22,0.0,322.75,09-30-2021
204,PIC_DATADISK,11.01,7.89,307.89,300.0,2415.76,658.84,0.0,,224.63,3170.0,258.22,43.05,0.0,2819.06,09-30-2021
208,PRAGUELCG2_DATADISK,5.75,1.82,193.64,191.81,1531.4,500.95,180.0,,257.21,2089.07,101.16,-23.05,170.93,1747.55,09-30-2021
214,RAL-LCG2-ECHO_DATADISK,22.63,73.2,373.2,300.0,10790.72,2589.99,0.0,,1350.86,15340.0,3172.82,0.0,0.0,14966.8,09-30-2021
218,RO-07-NIPNE_DATADISK,87.71,19.65,272.53,252.89,736.84,-763.76,0.0,,61.9,2528.88,1465.66,37.11,0.0,2219.23,09-30-2021
221,RRC-KI-T1_DATADISK,29.52,77.28,377.28,300.0,3507.95,984.19,0.0,,405.69,4563.13,461.93,1.85,0.0,4184.0,09-30-2021
