,datetime,rse,site,cloud,tier_level,queue_efficiency,queue_occupancy,Free(storage),Total(storage),Difference,Primary diff,Unlocked,transferring,transferringlimit,corecount,corepower,running,queued,finished,failed,transferring_availability
30,09-28-2021,IN2P3-LPSC_DATADISK,IN2P3-LPSC,FR,2,0.9875,4.57,123.26,1132.5,10.01,-282.09,597.46,59,2000,8.0,11.384,1178,248,1025.0,13.0,1941
31,09-28-2021,INFN-COSENZA_DATADISK,INFN-COSENZA,IT,3,0.9977,35.71,42.67,329.85,9.69,-193.09,232.36,434,2000,8.0,8.503,1463,31,2142.0,5.0,1566
32,09-28-2021,INFN-FRASCATI_DATADISK,INFN-FRASCATI,IT,2,0.9922,4.47,166.27,1539.32,12.34,-420.3,832.56,96,2000,8.0,11.04,986,211,761.0,6.0,1904
33,09-28-2021,INFN-GENOVA_DATADISK,INFN-GENOVA,IT,3,0.6923,0.65,2.41,8.8,1.53,-5.17,6.28,19,2000,8.0,10.0,70,100,117.0,52.0,1981
34,09-28-2021,INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC,IT,2,0.9053,2.74,453.5,1649.27,288.57,-501.44,703.67,123,2000,8.0,12.452,1304,466,1406.0,147.0,1877
35,09-28-2021,INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS,IT,2,0.8976,3.05,230.16,2199.02,18.73,472.31,156.04,32,2000,8.0,9.84,888,281,1674.0,191.0,1968
36,09-28-2021,INFN-ROMA1_DATADISK,INFN-ROMA1,IT,2,0.9679,20.98,164.31,1594.29,4.88,414.6,40.26,136,2000,8.0,10.818,3083,137,4284.0,142.0,1864
37,09-28-2021,INFN-ROMA3_DATADISK,INFN-ROMA3,IT,3,0.971,1.48,2.61,4.99,2.11,-2.67,1.96,12,2000,8.0,10.0,177,110,134.0,4.0,1988
38,09-28-2021,INFN-T1_DATADISK,INFN-T1,IT,1,0.9716,1.05,299.84,6700.0,-0.16,1798.04,588.68,704,2000,8.0,11.25,2263,2147,4786.0,140.0,1296
39,09-28-2021,JINR-LCG2_DATADISK,JINR-LCG2,RU,2,0.9767,2.61,117.84,920.0,25.84,-252.94,744.58,195,2000,8.0,12.06,540,156,1425.0,34.0,1805
