DATETIME,QUEUE,EFFICIENCY
2021-09-20,INFN-MILANO-ATLASC,0.8783
2021-09-20,ARNES,0.8778
2021-09-20,NIKHEF,0.8761
2021-09-20,CA-WATERLOO-T2,0.8757
2021-09-20,CA-SFU-T2,0.8714
2021-09-20,pic_MareNostrum4,0.8707
2021-09-20,CERN-T0_VHIMEM,0.8686
2021-09-20,FZK-LCG2,0.8661
2021-09-20,HONGKONG,0.8654
2021-09-20,ANALY_SWT2_CPB_VP,0.8524
2021-09-20,LRZ-LMU,0.8491
2021-09-20,MWT2_VHIMEM_UCORE,0.848
2021-09-20,DE-TARDIS,0.8479
2021-09-20,CA-IAAS-T3,0.8472
2021-09-20,UKI-NORTHGRID-MAN-HEP,0.8459
2021-09-20,MPPMU,0.8448
2021-09-20,CERN-PROD_EOS,0.8445
2021-09-20,ARC-TEST,0.8409
2021-09-20,GRIF-LAL,0.8382
2021-09-20,HPC2N,0.8331
2021-09-20,AGLT2_VHIMEM,0.8309
2021-09-20,CA-TRIUMF-DYNAFED,0.8272
2021-09-20,CERN-P1,0.8249
2021-09-20,UAM_MareNostrum4,0.8242
2021-09-20,OU_OSCER_ATLAS_TEST,0.8197
2021-09-20,ANALY_CERN-P1_COVID,0.8189
2021-09-20,UNIBE-LHEP,0.8186
2021-09-20,RIVR.UM,0.814
2021-09-20,ANALY_MWT2_GPU,0.8118
2021-09-20,OU_OSCER_ATLAS_OPP,0.8099
2021-09-20,SiGNET,0.8012
2021-09-20,NET2,0.7986
2021-09-20,AZ-IFAN,0.789
2021-09-20,HEPHY-UIBK,0.782
2021-09-20,INFN-NAPOLI-ATLAS,0.7817
2021-09-20,CERN-EXTENSION_KUBERNETES,0.7762
2021-09-20,ANALY_BNL_VP,0.7674
2021-09-20,wuppertal,0.746
2021-09-20,TACC-FRONTERA-UCORE,0.7455
2021-09-20,UKI-NORTHGRID-SHEF-HEP,0.7441
2021-09-20,DESY-HH_HPC,0.7402
2021-09-20,ANALY_AGLT2_VP,0.7399
2021-09-20,ANALY_LRZ_VP,0.7362
2021-09-20,CSCS-LCG2,0.7359
2021-09-20,IL-TAU,0.7295
2021-09-20,CA-TRIUMF-DISKLESS,0.7279
2021-09-20,Vega_largemem,0.7269
2021-09-20,OU_OSCER_ATLAS,0.7224
2021-09-20,ANALY_NET2_VP,0.7179
2021-09-20,pic,0.7041
2021-09-20,ANALY_ARNES_DIRECT,0.7026
2021-09-20,INFN-GENOVA,0.7007
2021-09-20,UNIBE-LHEP-UBELIX_MCORE_LOPRI,0.6988
2021-09-20,IN2P3-CPPM,0.6634
2021-09-20,BNL_PROD_CONTR_TEST,0.6429
2021-09-20,DCSC,0.638
2021-09-20,SARA-MATRIX,0.6263
2021-09-20,SiGNET-NSC,0.5958
2021-09-20,CERN-P1_UCORE,0.5904
2021-09-20,GoeGrid,0.5693
2021-09-20,ANALY_SiGNET_DIRECT,0.5382
2021-09-20,CERN-HPC,0.4708
2021-09-20,SAMPA,0.3888
2021-09-20,LUNARC,0.3877
2021-09-20,wuppertalprod_CONDOR_TEST,0.2588
2021-09-20,UKI-SOUTHGRID-SUSX_UCORE,0.1793
2021-09-20,TR-10-ULAKBIM_UCORE,0.1085
2021-09-20,praguelcg2_Barbora_MCORE,0.0196
2021-09-20,BNL_LAKE_UCORE,0
2021-09-20,CERN-PROD_UCORE_2,0
2021-09-20,DESY-HH_GPU,0
2021-09-20,HARVESTER_APF_BNL_TEST,0
2021-09-20,LRZ-LMU_C2PAP_ES_MCORE,0
2021-09-20,ITEP_PROD,0
2021-09-20,INFN-T1_TEST,0
2021-09-20,LRZ-LMU_C2PAP_ES,0
2021-09-20,NERSC_Cori_p2_ES_Test,0
2021-09-20,PNPI_PROD,0
2021-09-20,IN2P3-CPPM-TEST,0
2021-09-20,ANALY_SLAC_GPU,0
2021-09-20,UNIGE-BAOBAB,0
