,queue,site,cloud,rse,datetime
196,TW-FTT,TW-FTT,TW,TAIWAN-LCG2_DATADISK,09-24-2021
197,Taiwan-LCG2,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
198,Taiwan-LCG2-HPC2_Unified,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
199,Taiwan-LCG2-HPC_Unified,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
200,Taiwan-LCG2_K8S_UCORE,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
201,UAM,UAM-LCG2,ES,UAM-LCG2_DATADISK,09-24-2021
202,UAM_MareNostrum4,UAM-LCG2,ES,UAM-LCG2_DATADISK,09-24-2021
203,UIO_CLOUD,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
204,UIO_CLOUD_LOPRI,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
205,UKI-LT2-Brunel_SL7_UCORE,UKI-LT2-Brunel,UK,UKI-LT2-BRUNEL_DATADISK,09-24-2021
206,UKI-LT2-IC-HEP_SL7_UCORE,UKI-LT2-IC-HEP,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
207,UKI-LT2-QMUL,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
208,UKI-LT2-QMUL_TEST,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
209,UKI-LT2-RHUL,UKI-LT2-RHUL,UK,UKI-LT2-RHUL_DATADISK,09-24-2021
210,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK,09-24-2021
211,UKI-NORTHGRID-LANCS-HEP_TEST,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK,09-24-2021
212,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP,UK,UKI-NORTHGRID-LIV-HEP_DATADISK,09-24-2021
213,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
214,UKI-NORTHGRID-MAN-HEP_TEST,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
215,UKI-NORTHGRID-SHEF-HEP,UKI-NORTHGRID-SHEF-HEP,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
216,UKI-SCOTGRID-DURHAM_SL7_UCORE,UKI-SCOTGRID-DURHAM,UK,UKI-SCOTGRID-DURHAM_DATADISK,09-24-2021
217,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF_DATADISK,09-24-2021
218,UKI-SCOTGRID-ECDF_CLOUD,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF_DATADISK,09-24-2021
219,UKI-SCOTGRID-GLASGOW_CEPH,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,09-24-2021
220,UKI-SCOTGRID-GLASGOW_CEPH_TEST,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,09-24-2021
221,UKI-SOUTHGRID-BHAM-HEP_MCOREVAC,UKI-SOUTHGRID-BHAM-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
222,UKI-SOUTHGRID-OX-HEP,UKI-SOUTHGRID-OX-HEP,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
223,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP,UK,UKI-SOUTHGRID-RALPP_DATADISK,09-24-2021
224,UKI-SOUTHGRID-SUSX_UCORE,UKI-SOUTHGRID-SUSX,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
225,UNI-FREIBURG,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK,09-24-2021
226,UNI-FREIBURG_MCORE,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK,09-24-2021
227,UNIBE-LHEP,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
227,UNIBE-LHEP,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
228,UNIBE-LHEP-UBELIX,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
228,UNIBE-LHEP-UBELIX,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
229,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
229,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
230,UNIGE-BAOBAB,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
230,UNIGE-BAOBAB,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
231,UTA_SWT2_UCORE,UTA_SWT2,US,UTA_SWT2_DATADISK,09-24-2021
232,UTA_SWT2_UCORE_RET,UTA_SWT2,US,SWT2_CPB_DATADISK,09-24-2021
233,Vega,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
234,Vega_MCORE,SiGNET,ND,CERN-PROD_DATADISK,09-24-2021
234,Vega_MCORE,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
235,Vega_largemem,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
236,WEIZMANN,WEIZMANN-LCG2,NL,TECHNION-HEP_DATADISK,09-24-2021
237,WISC_ATLAS_TOKEN,WISC-ATLAS,US,,09-24-2021
238,ZA-WITS-CORE,ZA-WITS-CORE,NL,ZA-WITS-CORE_DATADISK,09-24-2021
239,ifae,ifae,ES,IFAE_DATADISK,09-24-2021
240,pic,pic,ES,PIC_DATADISK,09-24-2021
241,pic_MareNostrum4,pic,ES,PIC_DATADISK,09-24-2021
242,praguelcg2,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
243,praguelcg2_Barbora_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
244,praguelcg2_Karolina_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
245,praguelcg2_Salomon_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
246,praguelcg2_fzu_TEST,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
247,test_LCRC,ANLASC,US,BNLHPC_DATADISK,09-24-2021
248,test_LCRC_ES,ANLASC,US,BNLHPC_DATADISK,09-24-2021
249,wuppertal,wuppertalprod,DE,WUPPERTALPROD_DATADISK,09-24-2021
250,wuppertalprod_CONDOR_TEST,wuppertalprod,DE,WUPPERTALPROD_DATADISK,09-24-2021
