,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,queue_occupancy_rate,site,cloud,tier_level,rse
34,2021-09-19,IN2P3-LPC,1560.0,118.0,243.0,2005.0,6.0,363.0,,359.0,0.657673,IN2P3-LPC,FR,2,IN2P3-LPC_DATADISK
35,2021-09-19,ifae,547.0,84.0,214.0,533.0,3.0,124.0,,,0.655875,IFAE,ES,2,IFAE_DATADISK
36,2021-09-19,UIO_CLOUD,1489.0,5.0,23.0,2051.0,200.0,23.0,,,0.653357,UIO_CLOUD,ND,1,NDGF-T1_DATADISK
37,2021-09-19,ARNES,1828.0,361.0,40.0,2235.0,200.0,437.0,1.0,74.0,0.64457,ARNES,ND,3,NDGF-T1_DATADISK
38,2021-09-19,NET2,3070.0,83.0,2.0,4845.0,119.0,555.0,3.0,199.0,0.608041,BostonU,US,2,NESE_DATADISK
38,2021-09-19,NET2,3070.0,83.0,2.0,4845.0,119.0,555.0,3.0,199.0,0.608041,BostonU,US,2,NET2_DATADISK
39,2021-09-19,SLAC,369.0,26.0,122.0,465.0,1.0,124.0,,159.0,0.600977,SLAC,US,3,SLACXRD_DATADISK
40,2021-09-19,INFN-CNAF,3050.0,6.0,259.0,4866.0,18.0,515.0,,367.0,0.592348,INFN-T1,IT,1,INFN-T1_DATADISK
41,2021-09-19,CA-SFU-T2,981.0,6.0,14.0,933.0,746.0,382.0,,47.0,0.577398,CA-SFU-T2,CA,2,CA-SFU-T2_DATADISK
42,2021-09-19,CA-WATERLOO-T2,593.0,27.0,52.0,518.0,761.0,612.0,1.0,11.0,0.436672,CA-WATERLOO-T2,CA,2,CA-WATERLOO-T2_DATADISK
43,2021-09-19,IHEP,303.0,20.0,78.0,721.0,85.0,128.0,1.0,67.0,0.335177,RU-Protvino-IHEP,RU,2,RU-PROTVINO-IHEP_DATADISK
44,2021-09-19,SARA-MATRIX,1317.0,4.0,70.0,6321.0,12.0,317.0,1.0,,0.205556,SARA-MATRIX,NL,1,SARA-MATRIX_DATADISK
45,2021-09-19,TW-FTT,559.0,643.0,106.0,2086.0,1.0,78.0,,151.0,0.197109,TW-FTT,TW,2,TAIWAN-LCG2_DATADISK
46,2021-09-19,UNIBE-LHEP-UBELIX,190.0,43.0,2.0,1439.0,824.0,121.0,,,0.082322,UNIBE-LHEP-UBELIX,ND,2,UNIBE-LHEP_DATADISK
47,2021-09-19,AGLT2_VHIMEM,261.0,,12.0,1897.0,6.0,39.0,,,0.0,GreatLakesT2,US,2,AGLT2_DATADISK
48,2021-09-19,ANALY_AGLT2_VP,252.0,36.0,,3.0,5.0,,,642.0,0.0,GreatLakesT2,US,2,
49,2021-09-19,ANALY_ARNES_DIRECT,197.0,91.0,8.0,,54.0,,1.0,,0.0,ARNES,ND,3,
50,2021-09-19,ANALY_BNL_GPU_ARC,1.0,,,4.0,,,,,0.0,BNL-ATLAS-T3,US,3,BNL-OSG2_DATADISK
51,2021-09-19,ANALY_BNL_VP,50.0,378.0,,38.0,11.0,,,,0.0,BNL,US,1,
52,2021-09-19,ANALY_CERN-P1_COVID,,,,2.0,2.0,,,,0.0,CERN-P1,CERN,3,CERN-PROD_DATADISK
53,2021-09-19,ANALY_FZU_VP_2,1019.0,1.0,,112.0,197.0,,,319.0,0.0,praguelcg2_vp,DE,2,
54,2021-09-19,ANALY_LRZ_VP,10.0,7.0,,,8.0,,,,0.0,LRZ-LMU,DE,2,
55,2021-09-19,ANALY_MWT2_GPU,,,13.0,,,,,,0.0,MidwestT2,US,2,MWT2_DATADISK
56,2021-09-19,ANALY_MWT2_VP,1063.0,32.0,,137.0,5.0,,,372.0,0.0,MidwestT2,US,2,MWT2_DATADISK
57,2021-09-19,ANALY_NET2_VP,13.0,,,10.0,,,,,0.0,BostonU,US,2,
58,2021-09-19,ANALY_SLAC_GPU,,,,1.0,7.0,,,,0.0,SLAC,US,3,SLACXRD_DATADISK
59,2021-09-19,ANALY_SWT2_CPB_VP,21.0,7.0,,27.0,,,,,0.0,SWT2_CPB,US,2,SWT2_CPB_DATADISK
60,2021-09-19,ANALY_SiGNET_DIRECT,333.0,149.0,,1.0,126.0,,,,0.0,SiGNET,ND,2,
61,2021-09-19,AZ-IFAN,129.0,,,203.0,,37.0,,,0.0,AZ-IFAN,NL,3,FZK-LCG2_DATADISK
62,2021-09-19,Australia-ATLAS,616.0,14.0,,741.0,182.0,106.0,,55.0,0.0,Australia-ATLAS,CA,2,AUSTRALIA-ATLAS_DATADISK
63,2021-09-19,BEIJING,5.0,,,44.0,,16.0,,,0.0,BEIJING-LCG2,FR,2,BEIJING-LCG2_DATADISK
64,2021-09-19,BEIJING_MCORE,35.0,,,393.0,,8.0,,,0.0,BEIJING-LCG2,FR,2,BEIJING-LCG2_DATADISK
65,2021-09-19,BNL,7941.0,,76.0,5025.0,,2762.0,1.0,1478.0,0.0,BNL,US,1,BNL-OSG2_DATADISK
